"","N13_NTC1","N13_NTC2","N13_NTC3","N18_NTC1","N18_NTC2","N18_NTC3","N19_NTC1","N19_NTC2","N19_NTC3","N25_NTC1","N25_NTC2","N25_NTC3","N26_NTC1","N26_NTC2","N26_NTC3","N27_NTC1","N27_NTC2","N27_NTC3","N28_NTC1","N28_NTC2","N28_NTC3","N29_NTC1","N29_NTC2","N29_NTC3","N35_NTC1","N35_NTC2","N35_NTC3","N62_NTC1","N62_NTC2","N62_NTC3","N85_NTC1","N85_NTC2","N85_NTC3","N86_NTC1","N86_NTC2","N86_NTC3","N87_NTC1","N87_NTC2","N87_NTC3","N88_NTC1","N88_NTC2","N88_NTC3","N89_NTC1","N89_NTC2","N89_NTC3","N90_NTC1","N90_NTC2","N90_NTC3","N91_NTC1","N91_NTC2","N91_NTC3","N92_NTC1","N92_NTC2","N92_NTC3","N93_NTC1","N93_NTC2","N93_NTC3","N94_NTC1","N94_NTC2","N94_NTC3","N95_NTC1","N95_NTC2","N95_NTC3","N96_NTC1","N96_NTC2","N96_NTC3","N97_NTC1","N97_NTC2","N97_NTC3","N98_NTC1","N98_NTC2","N98_NTC3","N99_NTC1","N99_NTC2","N99_NTC3"
"a",0.000871512451289754,0.000834278302180723,0.000809231103860149,0.00087681274722059,0.00085211571733207,0.000821236936649455,0.000879589484048506,0.000850468718287681,0.000819034601964733,0.00083465283912286,0.00088876885800651,0.0008392879037058,0.000879659410165931,0.000829026177699986,0.000817992483293656,0.000881938159121409,0.000866539168827571,0.000834863450068329,0.000874265097862474,0.000860946074057106,0.000832810896136949,0.000937418196514098,0.000844434230006703,0.000826932376832698,0.000875254204578384,0.000834542560391912,0.000794665501186438,0.000760210470732142,0.00083334791794734,0.000819513288198718,0.000890966184641271,0.000871653281122038,0.000849560055828716,0.000886914780817995,0.000885175034357194,0.000841429753029498,0.000856950076310616,0.00082356443174981,0.000464598836454679,0.000860585919048615,0.00083731211933443,0.000629165733560618,0.000885511346857521,0.000848450947237153,0.00093801068316344,0.000851428584030472,0.00086277565575965,0.000886710580143996,0.00094231339250693,0.000859239729694761,0.000819316957926951,0.0010163680412016,0.000842552486480565,0.000817734855023083,0.00081760847519395,0.000847018480266113,0.000836521765581019,0.000866813234993,0.000847773401706993,0.000826506992892009,0.000862921380569863,0.000842425608349853,0.000792692201645384,0.00084982297129232,0.000821054075838273,9.41243361880953e-05,0.000842249778134068,0.000821192612931485,0.000459122655148516,0.000866713745396219,0.000856409300265156,0.000884293665868661,0.000755192466521725,0.000818141631353774,0.000712386511145206
"b",0.000267383888519245,0.000277034835704243,0.000283399331609581,0.000265643074894521,0.000272430055213137,0.000280333142202859,0.000265045329764748,0.000272596612913667,0.000280826982909569,0.000278066106137808,0.000262345074105006,0.000275592396034719,0.000269484384997938,0.000280254198112933,0.000281049323519271,0.000265915688049459,0.000270207402011839,0.000278509992991907,0.000266951392036923,0.000270424831378534,0.00027775755078471,0.00025193412159008,0.000274695002737686,0.000279104445485157,0.000266334288362579,0.000277146116441063,0.000287610248361014,0.000299839883746794,0.000277559246613442,0.000280878457936219,0.00026195967502873,0.000267370301869827,0.000272706290548156,0.000262871513571988,0.000263619955997164,0.000274967349471849,0.000270934134018551,0.000279837849127319,0.000383055845739621,0.000270176835238974,0.000276535742191187,0.000340398896051692,0.000263269884606495,0.000273178334717336,0.000252635088165353,0.000272522355384316,0.000269422656468964,0.000262667489092745,0.000251655386418676,0.000270848852503852,0.000281112076484068,0.000233091627875231,0.000274926826026307,0.000281382175686547,0.000282953696005322,0.000273203956284776,0.000276273411796307,0.000268428268777454,0.000273681672973322,0.000278806531137511,0.00026969941339377,0.00027497228650832,0.00028793623545832,0.00027316360946261,0.000280479733002037,0.000483527284748672,0.000274942022203055,0.000280765401502797,0.00038228447920067,0.000268545450389976,0.000270844809387832,0.00026319433304015,0.000301220898404951,0.000281378607833438,0.000308835862187349
"c",-2.27977191158006e-06,-3.11253088173527e-06,-3.68365521971868e-06,-2.11752026852392e-06,-2.72213505177768e-06,-3.4046873587365e-06,-2.06674796376496e-06,-2.71293191446065e-06,-3.43124655509767e-06,-3.30895659829479e-06,-1.80892348122164e-06,-2.98771870067973e-06,-2.94861501585386e-06,-3.59442793645609e-06,-3.45515433659617e-06,-2.28984852131923e-06,-2.66535762433677e-06,-3.39535661290535e-06,-2.26327516679739e-06,-2.5983778550652e-06,-3.20775159607851e-06,-1.15099944021371e-06,-2.95964923648268e-06,-3.31586132425101e-06,-2.20533224355986e-06,-3.147319983321e-06,-4.05039244935741e-06,-5.46446689297912e-06,-3.1931460803977e-06,-3.45013016346947e-06,-1.80356716966315e-06,-2.28789427693775e-06,-2.70611882318713e-06,-1.87021291498179e-06,-1.95419995296096e-06,-2.92821621285115e-06,-2.58678719791e-06,-3.37546098558739e-06,-1.32692578245815e-05,-2.549375406413e-06,-3.09659273508019e-06,-9.6290312933973e-06,-1.89508000545251e-06,-2.79163870080382e-06,-1.31265164374681e-06,-2.73117055183959e-06,-2.44786107687557e-06,-1.82189228659024e-06,-1.23254447350982e-06,-2.60465949982056e-06,-3.47870965579517e-06,2.91746687057317e-07,-2.94751029732664e-06,-3.51394167708668e-06,-3.81399015531745e-06,-2.7649031664982e-06,-3.0293077020827e-06,-2.37002535818733e-06,-2.84733959156508e-06,-3.2567236751893e-06,-2.4877281866256e-06,-2.94896170997323e-06,-4.08512525768028e-06,-2.79336751091274e-06,-3.42011962589394e-06,-2.23305484870549e-05,-2.94782604658865e-06,-3.47823203684841e-06,-1.29675823972443e-05,-2.38857340526329e-06,-2.56507028974278e-06,-1.84412420859981e-06,-5.5930818928074e-06,-3.51167647308679e-06,-5.88878322635583e-06
"d",2.77207442576673e-07,3.01225325057479e-07,3.18892380825067e-07,2.72479756089713e-07,2.90159779857548e-07,3.10259146213392e-07,2.70811338554494e-07,2.89718903815864e-07,3.10585194882972e-07,3.10433321235662e-07,2.63003477991865e-07,2.97681814793301e-07,3.14981178449609e-07,3.22095498533234e-07,3.11042185785445e-07,2.82109720532351e-07,2.92500612044085e-07,3.14055802518281e-07,2.77609973140342e-07,2.87880139441959e-07,3.04805952663396e-07,2.52709641949891e-07,2.98245321225288e-07,3.08381717136317e-07,2.75383568243852e-07,3.03351475619044e-07,3.29452294411704e-07,3.82675144144086e-07,3.04109815564654e-07,3.10926924489212e-07,2.63788400563008e-07,2.78296013915608e-07,2.88594728910136e-07,2.6531574977768e-07,2.68158042040086e-07,2.96208899199518e-07,2.86573402088823e-07,3.09942532322806e-07,6.26273675176223e-07,2.85908777776795e-07,3.01972255587449e-07,5.24339883227881e-07,2.66038749047253e-07,2.92863917619033e-07,2.61086894644554e-07,2.91433212042263e-07,2.81732350247592e-07,2.62665572219161e-07,2.59368106538121e-07,2.87704990529214e-07,3.12380152985227e-07,2.18588561730546e-07,2.97743266686898e-07,3.13712603177481e-07,3.28005040947748e-07,2.91833432170934e-07,2.984537104729e-07,2.79770612450963e-07,2.94358928424067e-07,3.04814523747556e-07,2.83517555289681e-07,2.96801662458239e-07,3.30395789292925e-07,2.9234936203516e-07,3.10027596728859e-07,8.98409592655471e-07,2.9802440658817e-07,3.13204186980428e-07,6.08919375153205e-07,2.80850123474134e-07,2.85333582293942e-07,2.6281212903805e-07,3.85442864575652e-07,3.13489214757769e-07,3.82648817777232e-07
