"At (UTC)","Direction","Thing","Type","Size","Transport","Payload","Delivery"
"12 Jun 2026 09:04:45","MO",231709,"SBD",54,"SBD","5177A2FCDA0A473C507F21509495FD070A6A7C4F96B44F8AE9FC9A0AC9D44E46714E60F6FCBE0A4C214D2F474D159CFCFB0A39F919EC",
"12 Jun 2026 09:04:30","MO",231709,"SBD",340,"SBD","6A2BCB523714016A0E0169D4A1FCBA0A116D46293246026DFCED0A437847353C4742C6FCB80A5D8B479BB34772B2FCBE0A478147F483480A9BFCC40A475947FB2247F10EFCE30A4C5A4854C448656FFC9B0A68C248BAF44895F2FC940A5A9D48B64748D6B3FCAA0A70BC48BC9A48E820FCE10A4EAA48D68348FAA6FCD10A6DBB",
"11 Jun 2026 21:04:41","MO",231709,"SBD",54,"SBD","5166A0FCD60A46E6508976509ED7FD040A6A814FA56C4F99A8FC9D0AC9BF4E50634E6ADFFCC20A4B584D331B4D1978FCF40A394919EC",
"11 Jun 2026 21:04:33","MO",231709,"SBD",340,"SBD","6A2B22923714CE6D47FB6D0C77FCB80A0D1346ABBA46877EFCE70A428B475097475E03FCB20A5CC247B744478ECFFCBD0A46F648089C481F57FCC50A46EC4814CC480B4DFCDF0A4BF2486390487468FC9C0A675248BFFB489ADCFC9D0A5A3D48BA4F48DAA2FCA80A70D948BF1848EA95FCDE0A4E5F48D7FF48FC22FCD90A6D61",
"11 Jun 2026 17:38:49","MO",231710,"SBD",284,"SBD","6A2AF28A36D70D4F30094F218963D4B5FCA14A8C1C4A85CA63CA27FC76449294447EA463BFAFFC9546037245FF5763C4B3FC9E46F44846FFB963B70FFC8147855847901F63C8A9FC6647F5EF47EE9C63BB37FCAC4816C8480FE263BB4CFC3B4866174851AC63BD4FFC6948AD6B488B2D63BBFDFC5248DAF948BCFB63B994FC5B",
"11 Jun 2026 09:04:37","MO",231709,"SBD",54,"SBD","516D59FCD20A4B28509C3150B1A0FD060A6F704FB69B4FAACDFC9C0ACBF44E5B124E758EFCC80A4F904D37254D1D77FCF40A3D9619F5",
"11 Jun 2026 09:04:26","MO",231709,"SBD",340,"SBD","6A2A79D23714FE68F48F68B740FCB70A0EE0465515462EB8FCE40A477C474030474DBEFCB50A609247A563477C8EFCC10A4BA147FAE2481122FCCB0A4B8748030147F91CFCDF0A508F485992486A4AFC990A6B0448BC8D489780FC9C0A5ED048B78D48D7FAFCAE0A740048BD4148E8BDFCD60A52F148D6EF48FB13FCD50A71F1",
"10 Jun 2026 21:04:35","MO",231709,"SBD",54,"SBD","51842EFCD70A46AC50B1F850C76EFD0B0A6B854FC8274FBC5DFCA10AC9304E65FC4E8080FCC10A4B1F4D3AF64D2140FCF30A394D19EC",
"10 Jun 2026 21:04:28","MO",231709,"SBD",340,"SBD","6A29D11237153C6847D3680D34FCB909C18C4667C3464221FCE90A43694744EE475258FCB00A5D5D47AB654782ABFCBE0A479247FEBE48151BFCBE0A478348086147FE94FCDF0A4C88485D3E486E0AFC9F0A661548BDE14898CFFC930A5ABC48B87F48D8E5FCAB0A71A248BDE248E968FCDD0A4EF248D74948FB6BFCCE0A6DD8",
"10 Jun 2026 17:39:00","MO",231710,"SBD",284,"SBD","6A29A10A36D71A4F2E6F4F204B63D4B6FCA44A790D4A72D563CA22FC7B44851044711B63BFA8FC9B45F4C745F0A963C4AFFC9D46E5E646F14D63B711FC7F477B184785DD63C8A8FC6047EDF847E6BB63BB37FCAF480F7C4808A463BB4BFC4148639C484F2863BD58FC6B48AB5348891563BBF4FC5948DA9148BC8A63B999FC5E",
"10 Jun 2026 09:04:43","MO",231709,"SBD",54,"SBD","519F03FCD80A42E050C70350DC7EFD030A68474FDACE4FCEF7FCA00AC7114E72224E8C9AFCBF0A475E4D3EF24D2535FCF10A35B819EC",
"10 Jun 2026 09:04:36","MO",231709,"SBD",340,"SBD","6A2928523715D7600BB95FD0A0FCB809D4EA468E994669B1FCE90A4004474C1F475983FCB20A5B4A47B19D478906FCBA0A444548040E481A9EFCC10A4432480F04480578FCE30A493448609A487174FCA10A61DE48BEF24899E9FC9C0A576648B98948D9E7FCAF0A6FF948BE9148EA11FCDB0A4BA448D7C248FBE3FCD50A6A75",
"9 Jun 2026 21:04:46","MO",231709,"SBD",54,"SBD","51B2E3FCD00A471250DA6A50EFE6FD080A6D454FEE844FE2AAFCA50AC9874E7ED44E9942FCC50A4BA94D424A4D288DFCF50A3A2719AF",
"9 Jun 2026 21:04:37","MO",231709,"SBD",340,"SBD","6A287F923715A05718ED56E380FCB509F0EC467214464CE7FCED0A450647459D47532EFCB70A5F3A47AB3B478286FCBB0A491747FF784815ECFCC60A490548097547FFC8FCE40A4E07485D36486E0BFC9B0A659348BDF14898DEFC9C0A5C3248B8A148D90FFCAD0A739048BE1348E997FCD40A507348D77A48FBA1FCD50A6F41",
"9 Jun 2026 17:38:51","MO",231710,"SBD",284,"SBD","6A284F8A36D7914F54304F460E63D4BAFCA24A90DD4A8AC863CA22FC79447F5A446B7363BFA6FC9C460D6446097363C4B1FC994700E7470C7963B713FC7C478EF14799DD63C8A8FC5F47FBE847F4B363BB37FCAC481E844817AA63BB4CFC3B48686848540263BD52FC7548B02B488DED63BBF0FC5C48DBB948BDB563B99AFC5F",
"9 Jun 2026 09:04:51","MO",231709,"SBD",54,"SBD","51BECDFCD90A4A3950EF2D5104ABFD0A0A71395005384FF953FC980ACB2B4E8C414EA6A4FCC50A4ED34D448C4D2AC4FCEC0A3D7B19F5",
"9 Jun 2026 09:04:45","MO",231709,"SBD",340,"SBD","6A27D6D23715CA45367A45047FFCB40A2F98466171463B7FFCE90A48B947463B4753B0FCB60A61B347AB9C4782D7FCC30A4CBB47FED148151EFCC30A4CAE48087247FE9FFCE30A51B8485DBE486E84FCA00A681048BE3648992BFC960A5FE248B8DC48D93BFCA70A764B48BE2048E9A7FCDF0A542B48D77B48FB9AFCD40A72F2",
"8 Jun 2026 21:04:49","MO",231709,"SBD",54,"SBD","51C8DBFCD40A4AAF510A26511F9AFD020A720550208B5014A0FC9D0ACAB74E9A494EB4BCFCC40A4EE14D457B4D2BB3FCF00A3DB819EC",
"8 Jun 2026 21:04:38","MO",231709,"SBD",340,"SBD","6A272E1237174B48F29A48BF5BFCB70A25A146243745FE0AFCEB0A499347345347420CFCBA0A6274479B8B4772B5FCBB0A4D4D47F39E4809D8FCC40A4D3547FB4647F155FCEA0A523E4854AD48656EFC990A678F48BACC4895C6FC9B0A605B48B60F48D684FCB00A76FD48BC7848E805FCD80A54AA48D68748FAADFCD50A7364",
