"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1805056,-18.5673649678319,1809165,-18.6234449053194,-510,684271,684.271,"Kette 1",1,34,-18.5954049365756
2,2641880,-28.111649377559,2642143,-28.1142008653336,-503,684189,684.189,"Kette 1",3,1,-28.1129251214463
3,2882691,-30.3644039757396,2879895,-30.339145090602,-512,684132,684.132,"Kette 1",5,3,-30.3517745331708
4,2872383,-30.2711842768606,2873257,-30.2790986785135,-515,684499,684.499,"Kette 1",8,5,-30.275141477687
5,2861862,-30.1757599432696,2859201,-30.1515801157109,-526,684521,684.521,"Kette 1",10,6,-30.1636700294902
6,2865129,-30.2054215295906,2855752,-30.1202128697248,-504,684821,684.821,"Kette 1",13,7,-30.1628171996577
7,2888532,-30.417107700687,2893985,-30.4662332579202,-515,685315,685.315,"Kette 1",16,8,-30.4416704793036
8,2929685,-30.7860322364589,2935057,-30.83388459946,-521,685705,685.705,"Kette 1",21,15,-30.8099584179595
9,2946794,-30.938192641459,2951878,-30.9832722432517,-539,686448,686.448,"Kette 1",26,16,-30.9607324423553
10,2962749,-31.0794585981626,2958411,-31.0411096821322,-550,686856,686.856,"Kette 1",30,17,-31.0602841401474
11,1787285,-18.323421729722,1790696,-18.3704227651812,-477,684200,684.2,"Kette 2",1,33,-18.3469222474516
12,2592340,-27.6271811330335,2597176,-27.6748164193606,-538,684195,684.195,"Kette 2",3,4,-27.650998776197
13,2868097,-30.2323448018429,2871529,-30.2634491082813,-525,684356,684.356,"Kette 2",5,10,-30.2478969550621
14,2862681,-30.1831983337661,2865407,-30.2079442732773,-524,684441,684.441,"Kette 2",8,11,-30.1955713035217
15,2851680,-30.0831402530075,2854308,-30.1070711870532,-511,684814,684.814,"Kette 2",10,12,-30.0951057200303
16,NA,NA,NA,NA,-506,684992,684.992,"Kette 2",13,13,NA
17,2894383,-30.4698158914175,2893047,-30.4577882005187,-525,685758,685.758,"Kette 2",16,20,-30.4638020459681
18,2923925,-30.7346459026967,2921504,-30.713023474812,-530,685879,685.879,"Kette 2",21,21,-30.7238346887544
19,2947457,-30.9440749338136,2947078,-30.9407124851565,-522,686463,686.463,"Kette 2",26,22,-30.942393709485
20,2964128,-31.0916399563372,2967052,-31.1174541915187,-543,686491,686.491,"Kette 2",30,24,-31.104547073928
