"node","ntc1_C","ntc2_C","gnd","pressure_hPa"
1,-4.00522163018104,-4.03692463453177,-358,674.448
2,-3.40799422997492,-3.41633036531198,-378,674.446
3,-3.09909997660321,-3.13039955245125,-362,674.25
4,-2.88829511670428,-2.91667806248739,-372,674.344
5,-2.99170048980903,-2.98437497371179,-393,674.287
6,-3.12069312200134,-3.07281199645701,-377,674.219
7,-2.64546309249533,-2.6985531603143,-380,674.465
8,-2.37629879333508,-2.43608234280975,-396,674.403
9,-1.77445020900177,-1.82832241657121,-397,674.51
10,-1.70192366189434,-1.64835077826598,-410,674.585
11,-5.76481942591357,-5.81066923842815,-391,674.331
12,-4.72986966671772,-4.79757590077367,-388,674.358
13,-6.62104005907946,-6.59792698725903,-399,674.4
14,-5.44635553642792,-5.39763853769927,-396,674.278
15,-5.27730386646715,-5.37956466706288,-424,674.498
16,-4.07202326522417,-4.11987145427776,-396,674.331
17,-4.36590768689013,-4.38386636081918,-391,674.713
18,-4.02137577158703,-3.99184607456658,-398,674.451
19,-3.87903120877564,-3.87509978033705,-404,674.584
20,-3.77383637157595,-3.8105792289461,-414,674.345
