"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1805850,-18.5782109674057,1809958,-18.6342539264809,-521,688360,688.36,"Kette 1",1,34,-18.6062324469433
2,2653951,-28.2285369883172,2654302,-28.2319291687035,-515,688272,688.272,"Kette 1",3,1,-28.2302330785104
3,2885571,-30.3904011206311,2882741,-30.3648554931596,-516,688221,688.221,"Kette 1",5,3,-30.3776283068953
4,2870825,-30.257071181704,2871732,-30.2652879638306,-521,688591,688.591,"Kette 1",8,5,-30.2611795727673
5,2862679,-30.1831801712908,2860008,-30.158915037907,-516,688613,688.613,"Kette 1",10,6,-30.1710476045989
6,2867475,-30.2267043876496,2858008,-30.1407337281701,-525,688911,688.911,"Kette 1",13,7,-30.1837190579098
7,2892521,-30.4530515242383,2898044,-30.5027521932415,-513,689408,689.408,"Kette 1",16,8,-30.4779018587399
8,2932760,-30.8134320741338,2938171,-30.861591364143,-531,689798,689.798,"Kette 1",21,15,-30.8375117191384
9,2948360,-30.9520848722219,2953465,-30.9973314771946,-519,690547,690.547,"Kette 1",26,16,-30.9747081747083
10,2963521,-31.0862785918368,2959196,-31.0480525633745,-553,690962,690.962,"Kette 1",30,17,-31.0671655776056
11,1793931,-18.41492012627,1797363,-18.4620439877712,-495,688280,688.28,"Kette 2",1,33,-18.4384820570206
12,2586793,-27.5724496980619,2591618,-27.6200628810092,-543,688275,688.275,"Kette 2",3,4,-27.5962562895356
13,2866530,-30.2181330593697,2869968,-30.249305441701,-537,688433,688.433,"Kette 2",5,10,-30.2337192505353
14,2863975,-30.1949473088312,2866691,-30.2195935207976,-525,688520,688.52,"Kette 2",8,11,-30.2072704148144
15,2852958,-30.0947801255556,2855555,-30.1184203111871,-521,688895,688.895,"Kette 2",10,12,-30.1066002183714
16,NA,NA,NA,NA,-503,689076,689.076,"Kette 2",13,13,NA
17,2894771,-30.4733081284698,2893442,-30.4613447558364,-521,689838,689.838,"Kette 2",16,20,-30.4673264421531
18,2923967,-30.7350208868551,2921534,-30.7132914982269,-535,689966,689.966,"Kette 2",21,21,-30.724156192541
19,2947372,-30.9433208525182,2946986,-30.9398962188886,-523,690554,690.554,"Kette 2",26,22,-30.9416085357034
20,2964137,-31.0917194428442,2967042,-31.1173659418654,-533,690582,690.582,"Kette 2",30,24,-31.1045426923548
