"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,2149554,-22.9015045232936,2132218,-22.6800218094525,2113865,-22.4846215656864
2,2113244,-22.4852429047048,2156309,-23.0110511442623,2146108,-22.9096154872007
3,2148002,-22.8734399375791,2152118,-22.9572335037731,2169280,-23.1297086385156
4,2163639,-23.0956277018545,2163046,-23.0291697362063,2153430,-22.933888772734
5,2151295,-22.9153395706917,2153044,-22.992566487074,2160792,-22.9762731153408
6,2149479,-22.9077514237879,2154829,-22.9648344528726,2153699,-22.9350136358836
7,2160281,-22.967991210618,2154317,-22.9479072043231,2155903,-22.9640548981429
8,2149125,-22.9209608600914,2156628,-22.971119454872,2149091,-22.9197023126657
9,2154135,-23.0173383467511,2154435,-22.9346081136691,2150304,-22.9320320669579
10,2150723,-22.8754845542604,2150098,-22.9110940422191,2152633,-22.9440611461463
11,2149559,-22.8927160496319,2149768,-22.8889233460372,2146943,-22.868113299772
12,2148914,-22.864634288625,2147776,-22.9163887706383,2164456,-23.2429240509211
13,2147049,-22.9179315573586,2142820,-22.8631145629499,2147034,-22.9280922174577
14,2154590,-22.936855819155,2143631,-22.8427641237483,2149812,-22.9341967901801
15,2154778,-22.9336763177291,2144918,-22.8732118483476,2146382,-23.0302741825808
16,2154549,-22.9156227617565,2141412,-22.8358285992413,2151918,-23.0220615390294
17,2155823,-22.9148196617476,2157444,-22.926463421272,2151718,-22.8709710579291
18,2152003,-22.8760618303372,2146186,-22.8748646392022,2154108,-23.0583554137901
19,2151044,-22.8821857975301,2145569,-22.8732945524838,2145872,-22.9546610216445
20,2152626,-22.9821359466983,2155884,-22.9436353892558,2153156,-22.8953977343697
21,2147757,-22.8826553359191,2149704,-22.8805090241108,2153619,-22.9445018369604
22,2148320,-22.9253262071998,2150020,-22.8799617806451,2160201,-22.9737073256483
23,2163014,-23.0206397007848,2150776,-22.8879990787666,2150515,-22.8868987042524
24,2150755,-22.9623640653228,2139806,-22.7651624595027,NA,NA
