"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1173334,-8.00621254261455,1112115,-6.66448046350104,1201570,-8.60099491862968
2,1097142,-6.36729575391246,1175129,-8.07138596161872,1146763,-7.49134960744635
3,1242349,-9.39283111170295,1179310,-8.15829604604551,1216823,-8.89887117012705
4,1113634,-6.75279809989985,1117893,-6.78992678627355,1141514,-7.31965537151734
5,1150713,-7.50874937422526,1153025,-7.62944024838566,1141382,-7.27268172518683
6,1162469,-7.76530577217039,1172239,-7.98375138870574,1168698,-7.89496483937569
7,1165681,-7.78276205230378,1166622,-7.86061675604725,1173862,-8.00249984315968
8,1167048,-7.89745867743972,1142416,-7.33358397403799,1043518,-5.14479267002031
9,1030371,-4.83387178652384,1056430,-5.39463968013558,1051432,-5.33723319790352
10,1057883,-5.41886605879847,1053342,-5.3581965454195,1049805,-5.27950773519774
11,1039370,-5.00753136178975,1044231,-5.12316079895669,1058671,-5.476057418555
12,1164207,-7.7811832879533,1170684,-7.99080540988905,1186049,-8.3893005372388
13,1201868,-8.6156997176007,1194045,-8.4773361017314,1217047,-8.95883904291742
14,1200095,-8.51645573594635,1200654,-8.58054836235141,1212231,-8.82507943240699
15,1210960,-8.74909849199406,1199569,-8.57847227825738,1206152,-8.75082298614564
16,1211391,-8.74536337369739,1190302,-8.38393969680743,1203503,-8.6573125092043
17,1215834,-8.80495863792584,1192484,-8.33821853198668,1211156,-8.72255641594489
18,1212245,-8.75265045367854,1207950,-8.7309375235123,1224442,-9.08348310265683
19,1220202,-8.92493932639053,1208523,-8.74586254078815,1227726,-9.15789001575018
20,1237313,-9.33700767125782,1230174,-9.13627671918584,1235254,-9.21887566574708
21,1235568,-9.27852857031291,1223395,-9.00702291301565,1223373,-9.01341018641745
22,1239208,-9.3552725245018,1242043,-9.37067893769154,1248222,-9.46958778835091
23,1266355,-9.83652979606057,1248879,-9.514823476956,1263912,-9.80683214303764
24,1255725,-9.67970390507207,1215207,-8.83468761670599,NA,NA
