"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1757090,-17.9035948316925,1760577,-17.9524271474582,-523,682396,682.396,"Kette 1",1,34,-17.9280109895753
2,2426405,-25.9448380486122,2426695,-25.9478636264428,-528,682368,682.368,"Kette 1",3,1,-25.9463508375275
3,2781829,-29.4404045939678,2779412,-29.4179298507141,-516,682284,682.284,"Kette 1",5,3,-29.429167222341
4,2868475,-30.2357720958046,2869406,-30.2442118411638,-546,682655,682.655,"Kette 1",8,5,-30.2399919684842
5,2873187,-30.2784648734081,2870512,-30.2542351362343,-538,682652,682.652,"Kette 1",10,6,-30.2663500048212
6,2872906,-30.2759204734166,2863436,-30.1900539365537,-542,682961,682.961,"Kette 1",13,7,-30.2329872049852
7,2892863,-30.4561313429485,2898402,-30.5059711599557,-541,683454,683.454,"Kette 1",16,8,-30.4810512514521
8,2932364,-30.8099047942567,2937760,-30.8579358376611,-539,683793,683.793,"Kette 1",21,15,-30.8339203159589
9,2949022,-30.9579558151506,2954132,-31.0032386413262,-543,684554,684.554,"Kette 1",26,16,-30.9805972282384
10,2964406,-31.0940951180025,2960092,-31.0559753929979,-563,684979,684.979,"Kette 1",30,17,-31.0750352555002
11,1752724,-17.842322375733,1756318,-17.8927711632321,-489,682324,682.324,"Kette 2",1,33,-17.8675467694825
12,2409644,-25.76943326608,2414270,-25.8179504594371,-541,682326,682.326,"Kette 2",3,4,-25.7936918627586
13,2767005,-29.3023090630895,2770561,-29.3354908313872,-555,682476,682.476,"Kette 2",5,10,-29.3188999472384
14,2865376,-30.2076629699149,2868131,-30.2326530918683,-537,682536,682.536,"Kette 2",8,11,-30.2201580308916
15,2868208,-30.2333512672079,2870778,-30.2566453377435,-552,682905,682.905,"Kette 2",10,12,-30.2449983024757
16,NA,NA,NA,NA,-536,683065,683.065,"Kette 2",13,13,NA
17,2897334,-30.4963672655347,2895979,-30.4841784621553,-536,683824,683.824,"Kette 2",16,20,-30.490272863845
18,2922671,-30.7234479664109,2920122,-30.7006741465081,-547,683954,683.954,"Kette 2",21,21,-30.7120610564595
19,2945582,-30.9274367728611,2945181,-30.9238773324615,-549,684501,684.501,"Kette 2",26,22,-30.9256570526613
20,2963921,-31.0898117139241,2966780,-31.115053717065,-553,684500,684.5,"Kette 2",30,24,-31.1024327154946
