"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1541912,-14.698690058658,1561812,-14.9900497492116,1554308,-14.9012287704289
2,1563870,-15.0541987978535,1553573,-14.9123915682446,1567260,-15.1461297420939
3,1556165,-14.9114698921451,1563696,-15.0691313069442,1552468,-14.8659837298219
4,1564167,-15.0801317102626,1568518,-15.0896787027164,1555496,-14.9012821425773
5,1563742,-15.0296670977294,1544414,-14.789361673689,1468565,-13.448190906416
6,1139666,-7.27881906451734,1112139,-6.69213769188462,1134252,-7.16097370304749
7,1353652,-11.4467096597733,1264517,-9.83500748505566,1399106,-12.3027232101897
8,1151700,-7.57272175600588,1159696,-7.70201445590544,1131558,-7.13571282158273
9,1533487,-14.6002532345363,1550075,-14.7993697484574,1535132,-14.6140489975114
10,1521690,-14.332883638367,1534379,-14.5806382644341,1478397,-13.6738516432061
11,1523760,-14.3926125341343,1554845,-14.8861345428997,1531791,-14.5329590655013
12,1565073,-15.0328887770135,1553315,-14.917206710662,1553362,-15.0201125047651
13,1527276,-14.4929996838426,1574982,-15.2598574600457,1535950,-14.6593330230831
14,1537052,-14.5840927047109,1531751,-14.5467566937696,1529866,-14.5246977755023
15,1535832,-14.5714805312425,1542126,-14.7300696555091,1532314,-14.644606452123
16,1528968,-14.4480558311292,1543030,-14.7435281495617,1553239,-14.9271404281745
17,1531959,-14.4704986701815,1549875,-14.7592720633606,1546803,-14.7170469153078
18,1524275,-14.3630767420471,1545436,-14.7669026675817,1513784,-14.3018446416675
19,1522175,-14.3433163358348,1523577,-14.4218286779368,1507137,-14.193518039016
20,1491398,-13.9146416504228,1495526,-13.9197940123527,1472703,-13.5252445801081
21,1446328,-13.1346867606035,1478722,-13.6497454606363,1486394,-13.7815558162415
22,1489223,-13.8638346881397,1523373,-14.3727547044577,1558870,-14.9143932684127
23,1573241,-15.1527075042069,1523494,-14.3800482494855,1550113,-14.8048043115213
24,1551871,-14.8781978359526,1562507,-14.9956528304671,NA,NA
