"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1216177,-8.88552459883232,1218274,-8.90202349618556,1216821,-8.90987177366844
2,1217101,-8.91313030664526,1213206,-8.85336171785525,1213887,-8.88648682738096
3,1216903,-8.88554497834281,1211959,-8.82770931088777,1217606,-8.91463627464026
4,1215975,-8.910301608005,1212778,-8.78846511318415,1213902,-8.82748555709452
5,1212216,-8.78663371460112,1212365,-8.85997436365466,1218892,-8.88398092937223
6,1216656,-8.88335149534043,1215808,-8.8784950633322,1215586,-8.85935528719511
7,1219377,-8.88719048891068,1214518,-8.8468057326956,1215665,-8.86032807080772
8,1213385,-8.852067285548,1214680,-8.83812862645169,1214311,-8.86726867662338
9,1214000,-8.86617251828875,1215542,-8.84053571023776,1212531,-8.83648070026612
10,1215550,-8.82981548111974,1213879,-8.84076542530772,1211962,-8.80620924974386
11,1213564,-8.81439288595919,1212802,-8.79850508911392,1212881,-8.81431688578402
12,1213772,-8.80385099522005,1209680,-8.79401206993208,1209803,-8.87699116821653
13,1210548,-8.79229641274725,1206343,-8.72849333959493,1208820,-8.79259107044959
14,1216090,-8.84122245606096,1211178,-8.79449481969414,1208658,-8.75278504863559
15,1212618,-8.78263858232759,1208782,-8.76596415989366,1210440,-8.83812370313871
16,1213203,-8.78199613498134,1207567,-8.73706824342918,1210313,-8.79590679928083
17,1217896,-8.84651910294411,1211619,-8.72842897135337,1217110,-8.84279606846508
18,1214620,-8.80062505911832,1208980,-8.75183257757436,1211021,-8.8123603272881
19,1214847,-8.81709639180349,1210037,-8.77655934596828,1209208,-8.78480545995575
20,1211998,-8.83011551524658,1213341,-8.79863252895626,1213331,-8.77999622947772
21,1211487,-8.79630876481758,1208213,-8.70094423630582,1211174,-8.76806162498002
22,1210824,-8.78659890160213,1211393,-8.75819376721654,1212624,-8.7604433817736
23,1214013,-8.80225485432794,1213161,-8.80426123624079,1212347,-8.78660104583565
24,1213174,-8.83339380637807,1213263,-8.79543056026995,NA,NA
