"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa"
1,420122,18.2367395504913,423230,18.044451280284,NA,425445,425.445
2,437639,17.1735257332815,428027,17.7508032543936,NA,415470,415.47
3,425563,17.9011657716974,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA
