"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1210940,-8.7797470805142,1193359,-8.39527862448267,1203542,-8.64115723095881
2,1211771,-8.80556002037076,1197905,-8.54217485524583,1201776,-8.640674305461
3,1195397,-8.44833250012209,1175095,-8.07050109817834,1203299,-8.624936879448
4,1213302,-8.8563463874213,1181755,-8.15315603355089,1205707,-8.66145349663873
5,1169240,-7.90088844695043,1189201,-8.38708478198009,1200376,-8.50876057892253
6,1208502,-8.71838741991195,1208400,-8.72868818267187,1210887,-8.76442908973945
7,1211548,-8.72928032339468,1194632,-8.44224327901753,1205555,-8.65564413806476
8,1200467,-8.58972109663921,1190497,-8.34503573638216,1206410,-8.7072222389591
9,1204483,-8.67296544120154,1197935,-8.48266967411104,1216328,-8.91310033276648
10,1203195,-8.57935543439231,1199704,-8.55281669504973,1212952,-8.82622453819374
11,1196786,-8.47294455108505,1175722,-8.03701099030161,1198710,-8.52620864083343
12,1177974,-8.06962571104674,1163401,-7.83777512681547,1210284,-8.88676560023629
13,1195314,-8.48149637290027,1178117,-8.14809918930746,1205579,-8.72678210946191
14,1201916,-8.55365077860392,1200072,-8.56866102448072,1211248,-8.80521137858483
15,1206227,-8.65309602151024,1189581,-8.3735453830148,1209765,-8.82440171327312
16,1225336,-9.02586312294221,1178909,-8.14804381983782,1186136,-8.30026113197925
17,1206638,-8.61873319254533,1173979,-7.95474008438049,1203820,-8.57357875193213
18,1202110,-8.54684497519781,1176613,-8.08639239110829,1210341,-8.79854272865902
19,1203303,-8.5829612992182,1175776,-8.07214674449,1197615,-8.54830176402959
20,1208218,-8.75350619915571,1199300,-8.51332840427449,1200584,-8.5210914467051
21,1190568,-8.36943109093954,1176165,-8.04177609518445,1186076,-8.25534584222305
22,1197182,-8.5084516237207,1172933,-7.96695154366188,1198747,-8.47825521710473
23,1204273,-8.60481124155007,1192480,-8.38306577130066,1205427,-8.64634597063258
24,1209122,-8.75124141879292,1174251,-7.99380123048877,NA,NA
