"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1367344,-11.7785451477676,NA,NA,1369243,-11.7598759293398
2,1366567,-11.7269403568461,1363376,-11.6765057978789,1366300,-11.6793033753951
3,1365836,-11.675028252391,1362078,-11.6303372562423,1358720,-11.5807311625513
4,1360267,-11.5857304436764,1356254,-11.5716489373741,1353360,-11.515035007223
5,1352951,-11.502243516058,1354479,-11.4996972631267,1354334,-11.4772530784353
6,1350935,-11.45458358505,1353444,-11.4696362987788,1351667,-11.432787518117
7,1348205,-11.4041561180173,1351954,-11.430641497937,1350028,-11.3969222425862
8,1350658,-11.3589858300201,1344341,-11.3411859412813,1344170,-11.3811900765746
9,1341336,-11.2939321040624,1346888,-11.3082082004256,1342805,-11.2741176461763
10,1341866,-11.2479376485141,1339381,-11.2633204837359,1337766,-11.2151975340641
11,1336865,-11.1517910118976,1338175,-11.1846129486271,1333128,-11.1258537030267
12,1336431,-11.163416578829,1333074,-11.1154619387104,1332384,-11.1057152062934
13,1337286,-11.1079916329514,1329820,-11.0936404071853,1330834,-11.0731943084674
14,1328720,-11.0605604365123,1332245,-11.066583897385,1331384,-11.0528334271289
15,1326585,-11.0408459193563,1331049,-11.0365294678227,1331280,-11.0361066785835
16,1327230,-11.0246938643378,1326772,-11.0299074113133,1326626,-11.0281683141677
17,1327840,-11.0379619560132,1326981,-11.0342076403497,1330636,-11.0262739628519
18,1331365,-11.0311668683567,1326735,-11.0090401295862,1325257,-10.9941375822976
19,1327627,-10.9676802268018,1325970,-10.962173411053,1326666,-10.9409809873549
20,1322486,-10.9143926667272,1325699,-10.933337152187,1318541,-10.876675389888
21,1315847,-10.8403999925999,1320608,-10.8672193141002,1316931,-10.7952084951427
22,1317285,-10.797673414812,1320155,-10.8268484821593,1314279,-10.7836405555286
23,1319720,-10.7945808431565,1317483,-10.812953868553,1315746,-10.8271268470042
24,1319379,-10.8355788101509,1320574,-10.8216315221511,1317634,-10.8588256116511
