"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1760158,-17.9465643063022,1764297,-18.0044208363967,-521,680916,680.916,"Kette 1",1,34,-17.9754925713494
2,2597126,-27.6743242962521,2597728,-27.6802489260932,-513,680849,680.849,"Kette 1",3,1,-27.6772866111727
3,2857738,-30.1382784640081,2855224,-30.1154082237962,-514,680794,680.794,"Kette 1",5,3,-30.1268433439021
4,2874088,-30.2866219003457,2874999,-30.2948673663919,-532,681162,681.162,"Kette 1",8,5,-30.2907446333688
5,2867175,-30.2239835779147,2864510,-30.1998036317643,-540,681178,681.178,"Kette 1",10,6,-30.2118936048395
6,2868306,-30.2342398321449,2858890,-30.148752952106,-537,681475,681.475,"Kette 1",13,7,-30.1914963921255
7,2890068,-30.4309529068981,2895559,-30.4803994541097,-527,681964,681.964,"Kette 1",16,8,-30.4556761805039
8,2930353,-30.7919864093235,2935714,-30.8397321936002,-544,682325,682.325,"Kette 1",21,15,-30.8158593014618
9,2947581,-30.9451749743662,2952658,-30.9901830131493,-540,683072,683.072,"Kette 1",26,16,-30.9676789937578
10,2963448,-31.085633756304,2959121,-31.0473892938557,-564,683478,683.478,"Kette 1",30,17,-31.0665115250798
11,1757457,-17.9087386891919,1761353,-17.9632817837552,-466,680832,680.832,"Kette 2",1,33,-17.9360102364735
12,2534399,-27.0505084181787,2539162,-27.0983345688348,-527,680816,680.816,"Kette 2",3,4,-27.0744214935068
13,2842878,-30.0028578217226,2846355,-30.0345953094346,-532,680967,680.967,"Kette 2",5,10,-30.0187265655786
14,2869335,-30.2435682863671,2872058,-30.2682407836227,-534,681064,681.064,"Kette 2",8,11,-30.2559045349949
15,2860187,-30.1605417644054,2862774,-30.1840428775523,-534,681432,681.432,"Kette 2",10,12,-30.1722923209789
16,NA,NA,NA,NA,-529,681609,681.609,"Kette 2",13,13,NA
17,2896446,-30.4883798430122,2895091,-30.476188041368,-534,682360,682.36,"Kette 2",16,20,-30.4822839421901
18,2923739,-30.7329852068966,2921278,-30.7110042944549,-549,682492,682.492,"Kette 2",21,21,-30.7219947506757
19,2946675,-30.9371367340951,2946276,-30.9335960915402,-547,683076,683.076,"Kette 2",26,22,-30.9353664128176
20,2964123,-31.0915957970841,2966999,-31.1169864656738,-554,683099,683.099,"Kette 2",30,24,-31.104291131379
