"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1608003,-15.7281487653839,1642668,-16.2292551540543,1694511,-17.019818624892
2,1704511,-17.1686366310425,1702086,-17.1544064734029,1689447,-16.9893977352118
3,1690290,-16.9417634913601,1684918,-16.9019431627763,1677793,-16.7715102142546
4,1677037,-16.79071198034,1681753,-16.8009131694178,1672458,-16.6807293415986
5,1675095,-16.7197405149111,1674472,-16.7736478874625,1676878,-16.7021887783536
6,1664925,-16.5785495908515,1672184,-16.6901951378728,1669456,-16.6344969197447
7,1675360,-16.6754227439762,1668608,-16.6290753600156,1667202,-16.6019852388192
8,1663508,-16.5841941122786,1672112,-16.673255833632,1665215,-16.6081247754073
9,1660709,-16.5610836095206,1665380,-16.5613538910819,1659436,-16.5242385355876
10,1663013,-16.5123964787576,1660418,-16.5179923779967,1661076,-16.5317708818019
11,1660403,-16.5009480559581,1665148,-16.5687387032394,1658918,-16.4894950821013
12,1664504,-16.5451160064218,1658841,-16.5297682504737,1652627,-16.5453447741157
13,1652371,-16.4278180051575,1657737,-16.5166424163789,1651504,-16.439132078631
14,1660467,-16.4817676842447,1653792,-16.4277035414751,1650255,-16.3844974426133
15,1653894,-16.3890228609459,1650172,-16.391172936371,1652248,-16.5067265524073
16,1653695,-16.3720621754353,1650696,-16.3989571662428,1652327,-16.4518201346394
17,1649562,-16.286858237852,1657298,-16.4036667013541,1652642,-16.3418428937438
18,1643572,-16.2116298342274,1646967,-16.3282671202658,1641143,-16.2935417119001
19,1642491,-16.2102173437598,1641100,-16.2450906388165,1638117,-16.2455621795061
20,1637533,-16.2094314003689,1647386,-16.2916836570386,1640674,-16.1739839056943
21,1628865,-16.0478920248102,1642271,-16.222521905452,1633155,-16.092355062529
22,1628965,-16.0676316404151,1638496,-16.1603776297244,1636589,-16.1084087074384
23,1636812,-16.1250235433395,1637929,-16.1558132834712,1634065,-16.0984806852536
24,1632102,-16.1182788867046,1637822,-16.1515108461724,NA,NA
