"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1790718,-18.3707256325604,1794894,-18.4281514522495,-521,684415,684.415,"Kette 1",1,34,-18.3994385424049
2,2631300,-28.0088304520929,2631815,-28.0138433793371,-505,684333,684.333,"Kette 1",3,1,-28.011336915715
3,2876952,-30.3125368923077,2874158,-30.2872555453895,-513,684278,684.278,"Kette 1",5,3,-30.2998962188486
4,2872160,-30.2691646165517,2873063,-30.2773421023981,-526,684648,684.648,"Kette 1",8,5,-30.2732533594749
5,2864975,-30.2040239534782,2862311,-30.1798381015022,-513,684665,684.665,"Kette 1",10,6,-30.1919310274902
6,2868848,-30.2391536982283,2859363,-30.1530526877516,-510,684969,684.969,"Kette 1",13,7,-30.1961031929899
7,2893432,-30.4612547212693,2899002,-30.5113653614007,-510,685462,685.462,"Kette 1",16,8,-30.486310041335
8,2933220,-30.8175289431076,2938647,-30.865824506707,-526,685837,685.837,"Kette 1",21,15,-30.8416767249073
9,2948808,-30.9560580719717,2953904,-31.0012195198717,-543,686585,686.585,"Kette 1",26,16,-30.9786387959217
10,2963918,-31.089785216914,2959597,-31.0515986183462,-559,687002,687.002,"Kette 1",30,17,-31.0706919176301
11,1796618,-18.4518218589924,1800204,-18.5009884105893,-494,684334,684.334,"Kette 2",1,33,-18.4764051347908
12,2563647,-27.3429920254165,2568446,-27.3907109927064,-531,684326,684.326,"Kette 2",3,4,-27.3668515090614
13,2857495,-30.1360685660124,2860947,-30.1674476207136,-539,684475,684.475,"Kette 2",5,10,-30.151758093363
14,2867366,-30.2257158533336,2870087,-30.250383876738,-532,684574,684.574,"Kette 2",8,11,-30.2380498650358
15,2856775,-30.1295198284816,2859353,-30.1529617901944,-523,684942,684.942,"Kette 2",10,12,-30.141240809338
16,NA,NA,NA,NA,-517,685118,685.118,"Kette 2",13,13,NA
17,2895806,-30.4826219240038,2894463,-30.4705359710352,-529,685867,685.867,"Kette 2",16,20,-30.4765789475195
18,2923939,-30.7347708978938,2921518,-30.7131485526791,-530,686008,686.008,"Kette 2",21,21,-30.7239597252864
19,2947062,-30.9405705272599,2946685,-30.9372254671103,-535,686594,686.594,"Kette 2",26,22,-30.9388979971851
20,2964142,-31.0917636019322,2967041,-31.1173571168871,-553,686622,686.622,"Kette 2",30,24,-31.1045603594096
