"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1830546,-18.9167656456943,1873961,-19.4744945017334,1826494,-18.8653720216595
2,1835868,-18.997137242284,1859209,-19.3303765575856,1831172,-18.9731223593237
3,1819542,-18.7565386119327,1852923,-19.2427688605421,1830927,-18.9219234140774
4,1821076,-18.8193395805579,1864978,-19.3482149563159,1813041,-18.6672192266018
5,1863549,-19.3480532782875,1847280,-19.1920709847742,1825851,-18.7976628251336
6,1808579,-18.6182141992212,1834328,-18.9690427581936,1820800,-18.7704840109907
7,1813644,-18.6283102840106,1833499,-18.9484868821908,1830649,-18.905104744823
8,1803912,-18.5784164137933,1825771,-18.8382544448656,1817916,-18.7682159010204
9,1796906,-18.5062026539187,1808015,-18.5849246136176,1803780,-18.5761608857478
10,1807091,-18.5575683052106,1807235,-18.6032464945675,1819668,-18.77624167069
11,1801775,-18.5129311806128,1849397,-19.1534755800912,1810578,-18.6425253884939
12,1850357,-19.1520731497841,1833642,-18.9951206713157,1802036,-18.6821412741548
13,1790815,-18.4109241029171,1846481,-19.1709351893212,1800953,-18.5705057034378
14,1812120,-18.6358825043255,1801824,-18.5369662631087,1789448,-18.3786535173454
15,1800570,-18.4800464617938,1824449,-18.861234871049,1803446,-18.6778974983286
16,1810800,-18.6052751890819,1833373,-18.9829488202072,1817837,-18.8132394367236
17,1797093,-18.3964433071771,1844559,-19.0388447323174,1807699,-18.5494188690079
18,1786327,-18.2601807581878,1814229,-18.7083441540129,1781504,-18.3229452374187
19,1787854,-18.2967700036184,1827084,-18.8874179732004,1801344,-18.592770552644
20,1792417,-18.4350137110281,1822647,-18.7792980885473,1801228,-18.470691389116
21,1769026,-18.0769674526129,1819231,-18.7406927869738,1800121,-18.4898337849767
22,1777966,-18.2245076426773,1789151,-18.324474983835,1789152,-18.3008617958475
23,1789325,-18.3167317857981,1792493,-18.3727617894095,1776123,-18.1478605701009
24,1768268,-18.0942490878535,1813973,-18.6663988253201,NA,NA
