"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1724167,-17.4379194463808,1728850,-17.5046738275406,-514,669582,669.582,"Kette 1",1,34,-17.4712966369607
2,2698896,-28.6598828259576,2699466,-28.6653146670877,-500,669417,669.417,"Kette 1",3,1,-28.6625987465226
3,2894777,-30.4733621291865,2891972,-30.4481069934211,-506,669372,669.372,"Kette 1",5,3,-30.4607345613038
4,2865479,-30.2085976135483,2866339,-30.2164003764615,-520,669728,669.728,"Kette 1",8,5,-30.2124989950049
5,2855763,-30.1203129588797,2853113,-30.0961915604491,-520,669756,669.756,"Kette 1",10,6,-30.1082522596644
6,2862010,-30.1771042484829,2852588,-30.0914106431707,-520,670037,670.037,"Kette 1",13,7,-30.1342574458268
7,2887503,-30.4078291856612,2893004,-30.4574010076821,-511,670523,670.523,"Kette 1",16,8,-30.4326150966716
8,2928738,-30.7775893610533,2934134,-30.8256677251468,-513,670912,670.912,"Kette 1",21,15,-30.8016285431
9,2945341,-30.9252976042357,2950424,-30.9703859888846,-527,671643,671.643,"Kette 1",26,16,-30.9478417965602
10,2961024,-31.0642145341913,2956689,-31.0258744479476,-556,672040,672.04,"Kette 1",30,17,-31.0450444910695
11,1685717,-16.8831580679857,1689262,-16.9348119262669,-470,669454,669.454,"Kette 2",1,33,-16.9089849971263
12,2605227,-27.7539538198515,2610057,-27.8013312797351,-520,669422,669.422,"Kette 2",3,4,-27.7776425497933
13,2858174,-30.1422431679287,2861599,-30.1733709380807,-518,669617,669.617,"Kette 2",5,10,-30.1578070530047
14,2846377,-30.0347960218622,2849053,-30.0592005905884,-512,669670,669.67,"Kette 2",8,11,-30.0469983062253
15,2838683,-29.9645246597323,2841270,-29.9881696260908,-506,670040,670.04,"Kette 2",10,12,-29.9763471429115
16,NA,NA,NA,NA,-516,670244,670.244,"Kette 2",13,13,NA
17,2888432,-30.41620611505,2887107,-30.404257737257,-514,670977,670.977,"Kette 2",16,20,-30.4102319261535
18,2921396,-30.7120585723237,2918988,-30.6905374194876,-525,671089,671.089,"Kette 2",21,21,-30.7012979959056
19,2946162,-30.9325844094015,2945768,-30.9290876543781,-518,671660,671.66,"Kette 2",26,22,-30.9308360318898
20,2963640,-31.0873297351213,2966582,-31.1133062033132,-526,671679,671.679,"Kette 2",30,24,-31.1003179692172
