"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1171832,-7.99809218561103,NA,NA,1175784,-8.02603233030567
2,1176069,-8.0483053785365,1177654,-8.08782827446532,1176338,-8.00683806878959
3,1140928,-7.26229128628256,1148348,-7.44616828172838,1151617,-7.52487504697774
4,1138896,-7.23075632550558,1133148,-7.16400637578653,1149068,-7.50228605641144
5,1149827,-7.51527803067415,1143650,-7.35057580831307,1151349,-7.49597610460734
6,1149207,-7.48728126975442,1143055,-7.32766717495753,1151149,-7.49484837558498
7,1145729,-7.41521550641755,1131226,-7.06065779099964,1151643,-7.49926457018984
8,1154006,-7.50151475764324,1144137,-7.38745214618405,1133276,-7.1964436009095
9,1144817,-7.40870086639302,1145037,-7.32884585123315,1144523,-7.35755674503474
10,1146788,-7.3948371478549,1135302,-7.20967394380943,1142286,-7.34227111662727
11,1151638,-7.49344256557367,1140049,-7.25485625845852,1139558,-7.27780982419614
12,1128924,-7.0240165693458,1138122,-7.23725505396322,1138404,-7.24735329874869
13,1144537,-7.29072932382826,1134790,-7.20542383677781,1140775,-7.29464918597978
14,1139291,-7.28756410100448,1135217,-7.14039529260089,1135964,-7.15959889133779
15,1137600,-7.27032884272387,1128627,-6.99120369626417,1127100,-6.95309660076327
16,1135227,-7.1931736936956,1136364,-7.23231338770313,1133489,-7.17128768958815
17,1134575,-7.18096280996235,1133633,-7.1712806266728,1140383,-7.24223256298421
18,1138469,-7.19114217152264,1125906,-6.98033992827573,1132564,-7.1423376014024
19,1139128,-7.21257571808059,1134210,-7.13193830236821,1133480,-7.08220192327667
20,1131293,-7.08612004501924,1121480,-6.83119585502322,1125721,-6.99958813052854
21,1129091,-7.08367428305712,1117296,-6.76662054109966,1135481,-7.16003132304439
22,1131775,-7.0752510385758,1125810,-6.91927635065855,1129261,-7.06265967320968
23,1125986,-6.8997660747188,1124156,-6.92075523847097,1129530,-7.08138280514356
24,1131891,-7.07732471704884,1123729,-6.86241413909318,1116240,-6.78957233568866
