"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1812807,-18.6730503536358,1816953,-18.7294056844613,-513,682873,682.873,"Kette 1",1,34,-18.7012280190486
2,2652626,-28.2157283611025,2652889,-28.2182711790464,-518,682788,682.788,"Kette 1",3,1,-28.2169997700745
3,2883588,-30.3725032414714,2880796,-30.3472868204163,-511,682740,682.74,"Kette 1",5,3,-30.3598950309438
4,2871755,-30.2654963004636,2872646,-30.2735660457177,-518,683108,683.108,"Kette 1",8,5,-30.2695311730906
5,2863167,-30.1876115116293,2860503,-30.163413326715,-519,683126,683.126,"Kette 1",10,6,-30.1755124191721
6,2867340,-30.2254800516804,2857892,-30.1396788968993,-515,683429,683.429,"Kette 1",13,7,-30.1825794742899
7,2891531,-30.4441346113822,2897038,-30.493705009556,-523,683917,683.917,"Kette 1",16,8,-30.4689198104691
8,2932068,-30.8072679937561,2937451,-30.8551872540735,-535,684297,684.297,"Kette 1",21,15,-30.8312276239148
9,2948094,-30.9497255579781,2953185,-30.9948513926785,-546,685045,685.045,"Kette 1",26,16,-30.9722884753283
10,2963486,-31.0859694256855,2959175,-31.0478668492524,-553,685459,685.459,"Kette 1",30,17,-31.0669181374689
11,1798658,-18.479803086231,1802127,-18.5273158044569,-486,682800,682.8,"Kette 2",1,33,-18.5035594453439
12,2581288,-27.5180342906778,2586099,-27.5655951081556,-529,682796,682.796,"Kette 2",3,4,-27.5418146994167
13,2864688,-30.2014192180628,2868138,-30.2327165629783,-528,682951,682.951,"Kette 2",5,10,-30.2170678905206
14,2865070,-30.2048861017488,2867799,-30.2296426043216,-523,683035,683.035,"Kette 2",8,11,-30.2172643530352
15,2854071,-30.1049137631172,2856659,-30.1284646293599,-515,683407,683.407,"Kette 2",10,12,-30.1166891962386
16,NA,NA,NA,NA,-518,683581,683.581,"Kette 2",13,13,NA
17,2895123,-30.47647601861,2893781,-30.4643967799368,-531,684338,684.338,"Kette 2",16,20,-30.4704363992734
18,2923984,-30.7351726649353,2921580,-30.7137024631958,-535,684465,684.465,"Kette 2",21,21,-30.7244375640656
19,2947325,-30.9429038825018,2946933,-30.9394259693474,-525,685049,685.049,"Kette 2",26,22,-30.9411649259246
20,2964166,-31.0919755647334,2967061,-31.1175336160053,-540,685077,685.077,"Kette 2",30,24,-31.1047545903694
