"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1809562,-18.6288567923807,1813708,-18.6853077510526,-523,681927,681.927,"Kette 1",1,34,-18.6570822717167
2,2645942,-28.1510330141127,2646259,-28.1541043937191,-524,681844,681.844,"Kette 1",3,1,-28.1525687039159
3,2881699,-30.3554445677395,2878919,-30.3303233234188,-515,681790,681.79,"Kette 1",5,3,-30.3428839455791
4,2871776,-30.2656865196932,2872695,-30.2740097779132,-516,682160,682.16,"Kette 1",8,5,-30.2698481488032
5,2863941,-30.194638657961,2861279,-30.1704639246319,-542,682178,682.178,"Kette 1",10,6,-30.1825512912964
6,2868120,-30.2325533513003,2858659,-30.1466528723642,-523,682479,682.479,"Kette 1",13,7,-30.1896031118322
7,2892701,-30.4546725178887,2898217,-30.5043077672465,-522,682973,682.973,"Kette 1",16,8,-30.4794901425676
8,2932851,-30.8142425823075,2938260,-30.862382896565,-523,683352,683.352,"Kette 1",21,15,-30.8383127394362
9,2948512,-30.9534329758806,2953608,-30.9985980198119,-539,684100,684.1,"Kette 1",26,16,-30.9760154978463
10,2963722,-31.08805403289,2959387,-31.0497416295758,-564,684514,684.514,"Kette 1",30,17,-31.0688978312329
11,1800424,-18.5040017363852,1803941,-18.5521264839091,-487,681856,681.856,"Kette 2",1,33,-18.5280641101471
12,2575487,-27.4605864264409,2580296,-27.5082181856828,-556,681850,681.85,"Kette 2",3,4,-27.4844023060619
13,2862515,-30.1816908134654,2865955,-30.2129165854977,-526,682008,682.008,"Kette 2",5,10,-30.1973036994816
14,2865987,-30.213206915793,2868692,-30.2377394518736,-516,682093,682.093,"Kette 2",8,11,-30.2254731838333
15,2855098,-30.1142615544254,2857677,-30.1377237302245,-486,682468,682.468,"Kette 2",10,12,-30.1259926423249
16,NA,NA,NA,NA,-518,682643,682.643,"Kette 2",13,13,NA
17,2895408,-30.479040703268,2894058,-30.4668904037233,-512,683395,683.395,"Kette 2",16,20,-30.4729655534957
18,2924017,-30.7354672909633,2921555,-30.7134791133101,-520,683525,683.525,"Kette 2",21,21,-30.7244732021367
19,2947238,-30.9421320304468,2946860,-30.9387782561474,-525,684108,684.108,"Kette 2",26,22,-30.9404551432971
20,2964145,-31.0917900973567,2967061,-31.1175336160053,-534,684134,684.134,"Kette 2",30,24,-31.104661856681
