"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1359532,-11.6149877269486,1384346,-12.033490250495,1363922,-11.7027583129446
2,1369147,-11.7964151979041,1378442,-11.9815672453143,1366915,-11.7949451884536
3,1366051,-11.7182877980458,1377443,-11.9622902011267,1372881,-11.8543492362131
4,1365835,-11.7577569955009,1385980,-12.0582793176933,1365964,-11.7182212106023
5,1385989,-12.0706381047289,1377060,-11.9797690278942,1373263,-11.8048785347314
6,1213170,-8.81296386198619,1216852,-8.89953256692604,1240908,-9.36456565123001
7,1358161,-11.5281626483605,1342786,-11.3053849895275,1371198,-11.8092850309842
8,1265334,-9.87921098078482,1265604,-9.84467896316283,1240023,-9.38087874646794
9,1366544,-11.770549942909,1378279,-11.9198519651665,1372605,-11.8732481160013
10,1377378,-11.8917006473401,1377188,-11.9327024198064,1375932,-11.9145525461066
11,1376008,-11.8929574944187,1394815,-12.2243105492188,1375154,-11.8902144145818
12,1394650,-12.2073367187226,1383715,-12.085457195372,1368262,-11.9015590533932
13,1365240,-11.741638808811,1391196,-12.2200498896491,1369297,-11.8459062722784
14,1378932,-11.9218507958328,1372965,-11.8658117712221,1371338,-11.844477066148
15,1375901,-11.8772957072093,1383594,-12.0733929473264,1375064,-11.975874754268
16,1377963,-11.9008910048375,1386349,-12.1197456620046,1379972,-12.0180086691755
17,1376134,-11.8406530629931,1395086,-12.181679509734,1378890,-11.9007509678994
18,1371668,-11.7790533642398,1379953,-11.9921225698782,1365629,-11.7672840413424
19,1372235,-11.8022259593274,1388537,-12.1477825806757,1373629,-11.9143715969414
20,1373175,-11.8902735805968,1391219,-12.1491327221975,1380380,-11.9396079320613
21,1364782,-11.7139183881496,1387041,-12.0820458358172,1380276,-11.9672054886931
22,1366842,-11.7599516277546,1378944,-11.9321332662915,1380248,-11.9323556647244
23,1384605,-12.0228350587811,1382485,-12.0023090821683,1372953,-11.8326291347996
24,1369518,-11.8085185172519,1385222,-12.0434518373202,NA,NA
