"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1765587,-18.0224265034214,1769301,-18.0741961534578,-529,682309,682.309,"Kette 1",1,34,-18.0483113284396
2,2510746,-26.8118593612046,2511339,-26.817865977107,-534,682263,682.263,"Kette 1",3,1,-26.8148626691558
3,2823858,-29.828687198258,2821557,-29.8075518505728,-527,682187,682.187,"Kette 1",5,3,-29.8181195244154
4,2871218,-30.2606317421441,2872142,-30.2690015891323,-551,682562,682.562,"Kette 1",8,5,-30.2648166656382
5,2872320,-30.2706137129865,2869644,-30.2463690157159,-546,682567,682.567,"Kette 1",10,6,-30.2584913643512
6,2872731,-30.2743357813546,2863258,-30.1884377801948,-546,682874,682.874,"Kette 1",13,7,-30.2313867807747
7,2894195,-30.468123641447,2899767,-30.5182416702211,-541,683368,683.368,"Kette 1",16,8,-30.493182655834
8,2933044,-30.8159615058687,2938481,-30.8643483046739,-538,683712,683.712,"Kette 1",21,15,-30.8401549052713
9,2949184,-30.9593923517385,2954307,-31.0047883217305,-543,684465,684.465,"Kette 1",26,16,-30.9820903367345
10,2964375,-31.0938213500145,2960075,-31.0558250891438,-581,684888,684.888,"Kette 1",30,17,-31.0748232195791
11,1760520,-17.9516296553866,1764224,-18.0034015359293,-487,682240,682.24,"Kette 2",1,33,-17.977515595658
12,2444990,-26.1381041228692,2449677,-26.1866431699151,-536,682238,682.238,"Kette 2",3,4,-26.1623736463921
13,2792138,-29.5360848231773,2795677,-29.5688644827362,-539,682387,682.387,"Kette 2",5,10,-29.5524746529568
14,2868203,-30.2333059316058,2870944,-30.2581493572459,-534,682452,682.452,"Kette 2",8,11,-30.2457276444259
15,2866468,-30.2175706280061,2869046,-30.2409486139269,-539,682822,682.822,"Kette 2",10,12,-30.2292596209665
16,NA,NA,NA,NA,-532,682987,682.987,"Kette 2",13,13,NA
17,2897159,-30.49479332299,2895780,-30.4823879869663,-537,683747,683.747,"Kette 2",16,20,-30.4885906549781
18,2922973,-30.7261451085743,2920462,-30.7037127642373,-547,683877,683.877,"Kette 2",21,21,-30.7149289364058
19,2945817,-30.9295225502389,2945428,-30.9260698512773,-544,684443,684.443,"Kette 2",26,22,-30.9277962007581
20,2963969,-31.0902356631986,2966824,-31.1154420409184,-555,684425,684.425,"Kette 2",30,24,-31.1028388520585
