"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,996272,-4.0075078874014,NA,NA,1001808,-4.08718608982713
2,999801,-4.05593988267589,991637,-3.85979896902501,1000440,-4.01989366646734
3,973129,-3.34495615607187,970196,-3.29697445833159,960909,-3.06601287866096
4,960422,-3.03372391325132,961758,-3.12479211568336,958620,-3.03950879430568
5,961687,-3.11771862241244,962508,-3.10371388147411,959253,-3.0012383421876
6,959416,-3.04076120049109,968713,-3.25382058319332,959807,-3.0181620394431
7,952616,-2.87065725631857,970822,-3.29614992971852,961248,-3.04875375160765
8,968282,-3.18232033057967,953162,-2.88975518847991,967170,-3.29363917616934
9,959046,-3.04753398155583,964227,-3.09866183841683,961372,-3.06452895976332
10,963892,-3.1157512193563,965922,-3.23101135803137,968322,-3.2749636699952
11,963897,-3.1102047663731,969190,-3.25642085324608,963050,-3.1325359816671
12,979771,-3.53426317253565,967822,-3.24527559163209,967045,-3.23041187860559
13,968725,-3.18421231867035,960498,-3.10018260687292,956541,-2.95752599315108
14,952766,-2.8828468060612,962647,-3.07847574300058,956923,-2.93514642567709
15,958144,-3.04065182650572,959137,-2.98371505341061,962155,-3.05655238267195
16,959604,-3.05492111496358,956291,-2.98495897089288,960125,-3.08519624863021
17,958383,-3.02550065459013,956629,-2.98956038357636,958175,-2.95509096610226
18,962379,-3.05196032844663,962886,-3.12538884361788,956938,-2.99423460296413
19,966191,-3.15862966266491,966879,-3.20243987237131,963452,-3.08079330092835
20,957566,-2.98161113295652,967400,-3.19244575771336,954060,-2.92472699466379
21,953724,-2.92309090715185,966749,-3.20223177835152,960094,-3.02889129079188
22,956700,-2.93611758014214,967804,-3.19281217836635,955729,-2.95288729246755
23,966870,-3.14713272298201,975485,-3.42781145007137,962019,-3.12506795591878
24,958067,-2.97208082726178,967739,-3.18184120958318,958336,-3.03164914677154
