"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1909497,-19.9567437795305,1912306,-19.9931167149814,-523,670200,670.2,"Kette 1",1,34,-19.974930247256
2,2374314,-25.3961891595925,2374686,-25.4001443888199,-522,670204,670.204,"Kette 1",3,1,-25.3981667742062
3,2726710,-28.9238344525099,2724615,-28.9040310311498,-521,670113,670.113,"Kette 1",5,3,-28.9139327418299
4,2858914,-30.1489711343488,2859877,-30.1577244764628,-535,670471,670.471,"Kette 1",8,5,-30.1533478054058
5,2874231,-30.2879163334086,2871566,-30.2637842769518,-537,670460,670.46,"Kette 1",10,6,-30.2758503051802
6,2874407,-30.2895094105846,2864950,-30.2037970685205,-542,670768,670.768,"Kette 1",13,7,-30.2466532395526
7,2890986,-30.4392247596858,2896500,-30.4888656207382,-544,671258,671.258,"Kette 1",16,8,-30.464045190212
8,2930037,-30.7891698995324,2935403,-30.8369642842653,-551,671577,671.577,"Kette 1",21,15,-30.8130670918988
9,2948071,-30.94952154918,2953154,-30.9945768004198,-544,672327,672.327,"Kette 1",26,16,-30.9720491747999
10,2964110,-31.0914809827499,2959787,-31.0532786610567,-570,672749,672.749,"Kette 1",30,17,-31.0723798219033
11,1883885,-19.6227700139503,1886714,-19.6598678932613,-501,670097,670.097,"Kette 2",1,33,-19.6413189536058
12,2351618,-25.1538431600854,2356152,-25.2024204975758,-539,670153,670.153,"Kette 2",3,4,-25.1781318288306
13,2718203,-28.8433418558316,2721782,-28.8772314616315,-544,670304,670.304,"Kette 2",5,10,-28.8602866587316
14,2856544,-30.1274184926025,2859326,-30.1527163655074,-543,670345,670.345,"Kette 2",8,11,-30.140067429055
15,2869804,-30.2478191360236,2872375,-30.271111824864,-542,670711,670.711,"Kette 2",10,12,-30.2594654804438
16,NA,NA,NA,NA,-536,670859,670.859,"Kette 2",13,13,NA
17,2897773,-30.5003152773304,2896414,-30.4880919713021,-532,671614,671.614,"Kette 2",16,20,-30.4942036243163
18,2922168,-30.7189552125941,2919555,-30.6956061760666,-544,671705,671.705,"Kette 2",21,21,-30.7072806943303
19,2945181,-30.9238773324615,2944791,-30.9204151630787,-534,672260,672.26,"Kette 2",26,22,-30.9221462477701
20,2963834,-31.0890432920055,2966731,-31.1146212601364,-560,672260,672.26,"Kette 2",30,24,-31.1018322760709
