"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1251703,-9.59109911224238,1230147,-9.13981368696244,1221333,-9.00049932872804
2,1222220,-9.01599252564802,1221256,-9.01548214805189,1225344,-9.11674151375394
3,1227619,-9.10047656485932,1228650,-9.16287990363764,1231538,-9.19343848461932
4,1230797,-9.20731635138856,1233232,-9.1983571067866,1231257,-9.17537257568358
5,1232872,-9.2010568494145,1232519,-9.26400243274799,1236088,-9.22730267386765
6,1233493,-9.22045974761971,1234330,-9.24903418165366,1233585,-9.21954405344047
7,1235348,-9.20615750294098,1233225,-9.22128537689889,1235667,-9.26024352994949
8,1231588,-9.21696757704063,1236707,-9.27865771257876,1235728,-9.29583981264216
9,1234139,-9.27001471933295,1236732,-9.26430835080481,1233738,-9.26133378361919
10,1237428,-9.26704580702,1236121,-9.285771536845,1234962,-9.26697656057178
11,1235319,-9.25004885565772,1236681,-9.27646415344668,1235689,-9.27091700590847
12,1240211,-9.33211359185822,1237262,-9.34637271073979,1236463,-9.4128857695265
13,1237134,-9.32531003482427,1237372,-9.35079553271169,1236231,-9.34210915539882
14,1241726,-9.35281649390049,1237883,-9.32902190279162,1237190,-9.3241643408885
15,1240608,-9.34193314105977,1238046,-9.35202048068243,1239061,-9.41302576879417
16,1242583,-9.36833434120445,1238542,-9.35793560313539,1240855,-9.40799725472738
17,1242682,-9.34057666146867,1241052,-9.31658037012323,1241916,-9.33740384901489
18,1239531,-9.29815814794586,1236060,-9.29479398093707,1235422,-9.30307329997026
19,1234978,-9.22003454667873,1231272,-9.20303916412723,1230673,-9.2167413835947
20,1230506,-9.20174961582359,1232985,-9.1922036180643,1234658,-9.20704916065523
21,1232272,-9.21309285330506,1236944,-9.27693932401905,1238192,-9.3081588275075
22,1238856,-9.3483013151365,1244334,-9.41584289710107,1247689,-9.45912194168221
23,1247641,-9.4717975470067,1245066,-9.43995740424822,1245049,-9.4385964049381
24,1243951,-9.44846230188119,1245805,-9.444325189567,NA,NA
