"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1321413,-10.941883394814,NA,NA,1321441,-10.8893066108556
2,1319357,-10.8659106310983,1317725,-10.8423388588732,1319376,-10.8224365677446
3,1315934,-10.7628871596999,1313756,-10.7454980704203,1312165,-10.7262777836943
4,1312643,-10.7126396199895,1308514,-10.6935939927085,1308359,-10.6863966382145
5,1308031,-10.6753074984929,1308614,-10.6555799255053,1308909,-10.6413710094175
6,1306476,-10.6342622282016,1306849,-10.6113955616414,1306690,-10.6034596056129
7,1303762,-10.5831297304014,1305071,-10.5661371934752,1304941,-10.5645261287452
8,1306865,-10.5515217806613,1301390,-10.5456657443278,1298315,-10.5308427480782
9,1300176,-10.5301839708956,1304370,-10.5226376621293,1302307,-10.5240304611112
10,1302517,-10.5185020727181,1298866,-10.5107607120106,1299931,-10.5123791362642
11,1302227,-10.5083445867173,1301296,-10.4998149538644,1299520,-10.5001311977315
12,1300233,-10.4904145578165,1299613,-10.4924362570446,1299543,-10.4942361976798
13,1304466,-10.4990309980696,1297371,-10.4885117568077,1299693,-10.4930707017458
14,1298403,-10.4948476150913,1301356,-10.4915803219347,1301696,-10.5002088026927
15,1297393,-10.4954097862544,1301709,-10.4904566204206,1301661,-10.484839345254
16,1298643,-10.4912537057536,1297856,-10.4901987971938,1297597,-10.4862941815219
17,1298549,-10.4914650287208,1297882,-10.490776769629,1302388,-10.5004467499093
18,1302455,-10.4929986653012,1298842,-10.4879875921026,1298573,-10.4959342888493
19,1302054,-10.4911161151685,1300499,-10.4869871107876,1302381,-10.4883897581996
20,1299917,-10.4927761804891,1301540,-10.4827963154372,1297565,-10.4837995988924
21,1297540,-10.4968731156802,1300207,-10.4857437589904,1301141,-10.4996887929848
22,1301331,-10.4991259240454,1301870,-10.4849607977459,1299027,-10.4976598453144
23,1303424,-10.4900581329127,1299939,-10.4844837022158,1298807,-10.5093548733555
24,1301196,-10.4956127003123,1302600,-10.4858246850433,1297769,-10.4865495271829
