"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1752799,-17.8433761550999,1756407,-17.8940192010476,-527,680491,680.491,"Kette 1",1,34,-17.8686976780738
2,2413101,-25.80569771342,2413008,-25.8047227220772,-513,680453,680.453,"Kette 1",3,1,-25.8052102177486
3,2760317,-29.2398069446976,2757199,-29.2106253884812,-523,680373,680.373,"Kette 1",5,3,-29.2252161665894
4,2869198,-30.2423264612465,2870145,-30.2509094874726,-534,680740,680.74,"Kette 1",8,5,-30.2466179743595
5,2872358,-30.2709578638316,2869701,-30.2468856285495,-528,680741,680.741,"Kette 1",10,6,-30.2589217461906
6,2870910,-30.2578413107665,2861497,-30.1724443560419,-521,681051,681.051,"Kette 1",13,7,-30.2151428334042
7,2887525,-30.4080275879216,2892937,-30.4567976980094,-526,681543,681.543,"Kette 1",16,8,-30.4324126429655
8,2928214,-30.7729167607162,2933511,-30.8201203937536,-538,681883,681.883,"Kette 1",21,15,-30.7965185772349
9,2947060,-30.9405527824798,2952088,-30.9851329777141,-543,682641,682.641,"Kette 1",26,16,-30.9628428800969
10,2963609,-31.0870559110989,2959282,-31.0488130960234,-558,683067,683.067,"Kette 1",30,17,-31.0679345035611
11,1752676,-17.8416479343476,1756368,-17.8934723155001,-491,680427,680.427,"Kette 2",1,33,-17.8675601249239
12,2430084,-25.9831978830883,2434748,-26.0317555694609,-540,680427,680.427,"Kette 2",3,4,-26.0074767262746
13,2781595,-29.4382294185583,2785143,-29.4711942053314,-538,680582,680.582,"Kette 2",5,10,-29.4547118119449
14,2867157,-30.2238203220294,2869906,-30.2487435537016,-547,680643,680.643,"Kette 2",8,11,-30.2362819378655
15,2867302,-30.2251354153933,2869899,-30.2486801141192,-533,681015,681.015,"Kette 2",10,12,-30.2369077647562
16,NA,NA,NA,NA,-521,681174,681.174,"Kette 2",13,13,NA
17,2897250,-30.495611782629,2895890,-30.4833777090705,-531,681935,681.935,"Kette 2",16,20,-30.4894947458497
18,2922861,-30.7251448698803,2920318,-30.7024258547453,-547,682058,682.058,"Kette 2",21,21,-30.7137853623128
19,2945714,-30.9286083747298,2945321,-30.9251200736173,-532,682616,682.616,"Kette 2",26,22,-30.9268642241736
20,2963956,-31.0901208441403,2966816,-31.1153714369204,-559,682603,682.603,"Kette 2",30,24,-31.1027461405304
