"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1108234,-6.60521955654735,1068587,-5.68297023190723,1053568,-5.37682796857428
2,1059334,-5.50532105205895,1062021,-5.58577478297588,1060325,-5.56611624977069
3,1059640,-5.4878355784524,1065605,-5.66932097348501,1058824,-5.48505384714792
4,1060555,-5.55215097418977,1068479,-5.67906653883523,1059103,-5.47890146875557
5,1068591,-5.68887777533968,1067606,-5.73922204235811,1066392,-5.60335533528013
6,1061802,-5.53894634387746,1068137,-5.70020568102581,1062716,-5.56067739878426
7,1062877,-5.51496133967885,1067123,-5.67229082311695,1066011,-5.63647828583055
8,1059238,-5.51724356680876,1068501,-5.69030767185063,1065784,-5.66422380626739
9,1062969,-5.60094851109108,1067859,-5.6594049912174,1064578,-5.64278969378825
10,1062939,-5.5361494867339,1067023,-5.67557271990609,1063883,-5.60717719547705
11,1062883,-5.55822974067496,1072549,-5.78142506479338,1062650,-5.56831838081689
12,1075350,-5.83092191586405,1069695,-5.77622749451621,1065047,-5.73895782837445
13,1065695,-5.6607864924805,1070492,-5.79640616500529,1062543,-5.6264713099718
14,1067904,-5.65004423683973,1064153,-5.61745739272948,1059146,-5.51512848735013
15,1065110,-5.59868055263513,1069361,-5.75885718716387,1064448,-5.67533973225568
16,1069355,-5.68459746097096,1069377,-5.75321252684046,1071307,-5.79745810299625
17,1069293,-5.65054092633255,1075509,-5.80407030077316,1069895,-5.67763067073162
18,1068997,-5.66593458012608,1070283,-5.76043743039503,1065165,-5.65204350035572
19,1069478,-5.68765424921645,1072416,-5.81232847512842,1070226,-5.78535802407811
20,1070691,-5.78586163763629,1077846,-5.89269504300279,1073235,-5.76849740399132
21,1068745,-5.72011676078529,1077736,-5.89599368690648,1070730,-5.7480163290665
22,1069388,-5.73376555207909,1077038,-5.87235890049442,1074366,-5.78884710044821
23,1079323,-5.91654058196679,1076799,-5.88017308977578,1074517,-5.82587696079429
24,1072846,-5.81154021172335,1074039,-5.80284046725598,NA,NA
