"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1824113,-18.8523688322983,NA,NA,1824000,-18.801213224729
2,1819234,-18.7497009669307,1844518,-19.0976078684919,1833208,-18.9035484920956
3,1781473,-18.1981422664019,1800745,-18.483411866315,1793983,-18.4044354791689
4,1785911,-18.2678552054581,1787726,-18.3522991766715,1802105,-18.5456935616078
5,1799369,-18.4992739272482,1802780,-18.5193078158125,1735375,-17.5600196800125
6,1756411,-17.8994158210622,1754947,-17.8441243750912,1745842,-17.7133667484501
7,1740107,-17.6630322232886,1717419,-17.2989165644958,1743882,-17.6790206291476
8,1737530,-17.5382430217434,1728269,-17.5038922138334,1722743,-17.468009992809
9,1731434,-17.5580531139383,1748124,-17.7035649213601,1738317,-17.6061072589532
10,1733865,-17.5378354828054,1748931,-17.8093528641542,1732689,-17.5599848430019
11,1730380,-17.4838209875803,1712561,-17.2361844975122,1730091,-17.5209908214146
12,1729615,-17.492237835729,1736114,-17.598018114043,1754277,-17.8550919515351
13,1748134,-17.6830006685509,1741305,-17.7061076334248,1742403,-17.6841383088115
14,1743167,-17.7233343091102,1733250,-17.524597644738,1747603,-17.7285266947973
15,1744098,-17.7568626297137,1780269,-18.1722174368903,1761335,-17.9050556050476
16,1789308,-18.3555653994141,1772786,-18.1389387223917,1767990,-18.0728738777098
17,1765261,-18.0246993883831,1764967,-18.0353472954855,1800068,-18.4446343515828
18,1762726,-17.9215725978538,1757071,-17.9079438693113,1757030,-17.9116520789362
19,1793731,-18.3530280230008,1774240,-18.1081279766184,1766283,-17.9628769936754
20,1732596,-17.5385059174973,1742236,-17.6353855508399,1738958,-17.6653537185054
21,1756263,-17.9285076291032,1745713,-17.7141237602451,1766163,-17.9962648655517
22,1756317,-17.8545780160283,1750893,-17.7573035795365,1764365,-18.0084602239582
23,1748320,-17.6965434318053,1757442,-17.882230487187,1754512,-17.8957901559897
24,1767549,-18.0100508986895,1754714,-17.7959774530572,1749562,-17.8158233418994
