"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1794569,-18.4236868052886,1798699,-18.4803651451754,-513,684205,684.205,"Kette 1",1,34,-18.452025975232
2,2570975,-27.4158276859082,2570987,-27.415946813539,-507,684136,684.136,"Kette 1",3,1,-27.4158872497236
3,2856820,-30.1299291636474,2853989,-30.1041672789155,-529,684078,684.078,"Kette 1",5,3,-30.1170482212815
4,2875150,-30.2962338649195,2876028,-30.3041783208131,-509,684443,684.443,"Kette 1",8,5,-30.3002060928663
5,2864813,-30.2025537105885,2862171,-30.1785665708293,-530,684461,684.461,"Kette 1",10,6,-30.1905601407089
6,2865740,-30.210965861012,2856367,-30.1258082851739,-515,684761,684.761,"Kette 1",13,7,-30.1683870730929
7,2886653,-30.4001627135584,2892083,-30.4491067680736,-520,685257,685.257,"Kette 1",16,8,-30.424634740816
8,2928547,-30.7758862576027,2933854,-30.8231746585814,-524,685636,685.636,"Kette 1",21,15,-30.799530458092
9,2946577,-30.936267137884,2951635,-30.9811189765156,-544,686387,686.387,"Kette 1",26,16,-30.9586930571998
10,2962926,-31.0810223739132,2958592,-31.0427106543454,-560,686798,686.798,"Kette 1",30,17,-31.0618665141293
11,1799863,-18.4963170649227,1803422,-18.5450303666535,-490,684137,684.137,"Kette 2",1,33,-18.5206737157881
12,2569583,-27.4020056748014,2574386,-27.4496707231724,-532,684137,684.137,"Kette 2",3,4,-27.4258381989869
13,2860084,-30.1596057251232,2863537,-30.1909709330373,-530,684279,684.279,"Kette 2",5,10,-30.1752883290802
14,2866725,-30.2199019327621,2869439,-30.2445109538118,-540,684377,684.377,"Kette 2",8,11,-30.232206443287
15,2855958,-30.1220872149058,2858533,-30.1455073165433,-536,684748,684.748,"Kette 2",10,12,-30.1337972657245
16,NA,NA,NA,NA,-519,684928,684.928,"Kette 2",13,13,NA
17,2895620,-30.4809483373353,2894277,-30.4688617613231,-529,685682,685.682,"Kette 2",16,20,-30.4749050493292
18,2923970,-30.7350476712734,2921549,-30.7134255091105,-537,685813,685.813,"Kette 2",21,21,-30.724236590192
19,2947142,-30.94128031062,2946756,-30.9378554646383,-522,686399,686.399,"Kette 2",26,22,-30.9395678876292
20,2964154,-31.0918695835027,2967052,-31.1174541915187,-536,686430,686.43,"Kette 2",30,24,-31.1046618875107
