"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1691948,-16.9779984075342,1687977,-16.8980551484246,1644420,-16.2830869881884
2,1472532,-13.5792045215249,1462238,-13.4271727251167,1459260,-13.3960634292445
3,1458173,-13.3170013560595,1462015,-13.4214219353565,1458790,-13.3407508426242
4,1458062,-13.3582773934104,1465766,-13.4290611944409,1460510,-13.3571568326408
5,1464715,-13.4248515924331,1457132,-13.3638532002389,1472758,-13.5180409365326
6,1454138,-13.2546935615129,1462884,-13.4099397698395,1466617,-13.457236752619
7,1456291,-13.2370935321546,1464428,-13.4284670267296,1457890,-13.3108489017814
8,1459708,-13.3787102153311,1468636,-13.489492032538,1454437,-13.2879966493902
9,1455294,-13.3147902919869,1452928,-13.2123449448328,1457084,-13.3356843217646
10,1460087,-13.3200986173303,1458773,-13.3423024376156,1467708,-13.4960665877408
11,1461112,-13.3633679562854,1460347,-13.3490647752477,1455945,-13.288471417488
12,1463731,-13.3917155329156,1460613,-13.4096191671649,1458088,-13.463812827545
13,1459841,-13.3847445846021,1460896,-13.4171247165459,1444696,-13.1585421690652
14,1459167,-13.3083627207836,1458620,-13.3479726823375,1452888,-13.2592378475317
15,1456682,-13.2747240251264,1455869,-13.3200203791457,1440424,-13.1196503003366
16,1447975,-13.1145238051299,1446083,-13.1530974386505,1443197,-13.1190397944682
17,1449026,-13.1056351130633,1453354,-13.1836969428757,1456660,-13.2450091516287
18,1438125,-12.9376787344523,1443703,-13.0982016164465,1451658,-13.2701658871827
19,1444709,-13.0630937194532,1455199,-13.2964642761351,1434426,-12.9780790231781
20,1442459,-13.0966202887122,1459256,-13.3183654756648,1445220,-13.0637817222924
21,1433477,-12.9161536019929,1446168,-13.1044088295711,1446582,-13.1162791089141
22,1439733,-13.0344273707155,1442636,-13.0382060723036,1448078,-13.1074080166501
23,1455023,-13.2378434273173,1443666,-13.0621357141106,1448603,-13.1456665716074
24,1448508,-13.1849043394666,1450872,-13.1780209682746,NA,NA
