"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1758119,-17.9180146640753,1761598,-17.9667078802424,-528,683600,683.6,"Kette 1",1,34,-17.9423612721588
2,2418875,-25.8661670654519,2419156,-25.8691066858782,-516,683572,683.572,"Kette 1",3,1,-25.867636875665
3,2771982,-29.3487406988763,2769582,-29.3263590705184,-523,683491,683.491,"Kette 1",5,3,-29.3375498846973
4,2868603,-30.2369325784161,2869547,-30.2454898485432,-540,683858,683.858,"Kette 1",8,5,-30.2412112134796
5,2872892,-30.2757937009137,2870214,-30.25153477185,-553,683859,683.859,"Kette 1",10,6,-30.2636642363819
6,2871937,-30.2671448298831,2862490,-30.1814637711614,-540,684167,684.167,"Kette 1",13,7,-30.2243043005222
7,2891002,-30.4393689127095,2896494,-30.488811645794,-536,684664,684.664,"Kette 1",16,8,-30.4640902792518
8,2931026,-30.7979840554594,2936394,-30.8457834008036,-538,685005,685.005,"Kette 1",21,15,-30.8218837281315
9,2948379,-30.9522533881982,2953478,-30.9974466194433,-549,685765,685.765,"Kette 1",26,16,-30.9748500038207
10,2964114,-31.0915163102798,2959785,-31.0532609768417,-567,686187,686.187,"Kette 1",30,17,-31.0723886435608
11,1753528,-17.8536166486719,1757119,-17.9040013318443,-494,683535,683.535,"Kette 2",1,33,-17.8788089902581
12,2414748,-25.8229590760871,2419389,-25.8715439394133,-543,683537,683.537,"Kette 2",3,4,-25.8472515077502
13,2770659,-29.3364047943919,2774215,-29.3695506630278,-540,683693,683.693,"Kette 2",5,10,-29.3529777287098
14,2865848,-30.2119457745809,2868587,-30.236787520373,-547,683753,683.753,"Kette 2",8,11,-30.2243666474769
15,2867985,-30.2313292373856,2870557,-30.2546428897419,-561,684123,684.123,"Kette 2",10,12,-30.2429860635637
16,NA,NA,NA,NA,-530,684286,684.286,"Kette 2",13,13,NA
17,2897304,-30.4960974522278,2895944,-30.4838635616121,-537,685047,685.047,"Kette 2",16,20,-30.48998050692
18,2922709,-30.7237873541487,2920164,-30.7010495204629,-538,685175,685.175,"Kette 2",21,21,-30.7124184373058
19,2945595,-30.9275521597459,2945195,-30.9240016086898,-537,685726,685.726,"Kette 2",26,22,-30.9257768842179
20,2963912,-31.0897322228299,2966781,-31.1150625426578,-554,685723,685.723,"Kette 2",30,24,-31.1023973827438
