"node","analysis","space","slope","pm95","intercept","r2","resid_sd"
4,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.996,0.0071,-0.147,0.99989,0.0526
5,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.0988,0.0581,1.232,0.99422,0.4371
6,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9797,0.0133,-0.196,0.99961,0.0988
7,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9765,0.0255,-0.147,0.99859,0.19
8,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.014,0.0179,0.369,0.99935,0.1303
9,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.0037,0.0127,0.16,0.99967,0.0907
10,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9888,0.0154,-0.038,0.99949,0.1132
11,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9897,0.0086,-0.068,0.99984,0.0635
12,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.1011,0.0666,0.994,0.99245,0.4707
13,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.0137,0.0094,0.334,0.99982,0.0666
14,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.0359,0.0111,0.344,0.99976,0.0773
15,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.0122,0.0293,0.193,0.99826,0.2056
16,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9645,0.0554,-0.518,0.99318,0.4046
17,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9979,0.0167,0.069,0.99942,0.1171
18,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.0162,0.0166,0.204,0.99944,0.1125
19,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9779,0.0215,-0.22,0.999,0.1511
20,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9774,0.0151,-0.225,0.9995,0.1061
21,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9586,0.0256,-0.305,0.99851,0.1843
22,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",0.9983,0.0161,0.132,0.99946,0.1121
23,"NTC1 ~ NTC3 (Gegencheck)","kalibriert",1.0026,0.0236,-0.104,0.99885,0.1599
1,"NTC1 ~ NTC3 (Gegencheck)","roh",1.0171,0.0193,-27907.07,0.99925,8892.3115
2,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9964,0.0083,10927.769,0.99986,3841.8245
3,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9916,0.013,2620.772,0.99964,6059.1842
4,"NTC1 ~ NTC3 (Gegencheck)","roh",1.0021,0.0067,3167.887,0.99991,3061.0636
5,"NTC1 ~ NTC3 (Gegencheck)","roh",1.0939,0.0527,-136120.638,0.99519,24455.2545
6,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9799,0.0129,25868.041,0.99964,5853.8929
7,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9723,0.025,31216.75,0.99863,11472.0818
8,"NTC1 ~ NTC3 (Gegencheck)","roh",1.0044,0.0171,-18514.277,0.99939,7631.2803
9,"NTC1 ~ NTC3 (Gegencheck)","roh",1,0.0131,-6984.655,0.99965,5674.6956
10,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9859,0.0141,14285.275,0.99957,6294.4586
11,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9868,0.0077,15417.644,0.99987,3419.4805
12,"NTC1 ~ NTC3 (Gegencheck)","roh",1.1125,0.0594,-146459.481,0.99411,25427.9199
13,"NTC1 ~ NTC3 (Gegencheck)","roh",1.0051,0.0089,-17660.798,0.99984,3809.7877
14,"NTC1 ~ NTC3 (Gegencheck)","roh",1.0405,0.0106,-52428.877,0.99979,4443.737
15,"NTC1 ~ NTC3 (Gegencheck)","roh",1.0115,0.0246,-19096.587,0.99877,10459.1618
16,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9654,0.047,55028.229,0.99509,20864.8028
17,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9909,0.0141,7052.536,0.99958,6029.1465
18,"NTC1 ~ NTC3 (Gegencheck)","roh",1.013,0.0134,-19230.589,0.99964,5514.2747
19,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9744,0.0183,33727.663,0.99927,7834.5984
20,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9761,0.0134,31301.435,0.99961,5720.412
21,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9505,0.0221,58865.707,0.99888,9643.6578
22,"NTC1 ~ NTC3 (Gegencheck)","roh",0.9919,0.0136,2301.959,0.99961,5760.0618
23,"NTC1 ~ NTC3 (Gegencheck)","roh",1.0067,0.0226,-1325.918,0.99895,9393.1356
