"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1913138,-18.3477730115779,1939974,-18.6706977105636,1913317,-18.3499415491183
2,1920478,-18.4365333236328,1929461,-18.5447132205778,1915102,-18.3715555340741
3,1906873,-18.2717492374935,1925838,-18.5011415239151,1914703,-18.3667258779988
4,1904797,-18.2465038671062,1933436,-18.5924266980279,1894136,-18.1164350971455
5,1928347,-18.5313242815917,1914872,-18.3687716415875,1896703,-18.1478188523257
6,1875624,-17.8888706416471,1898720,-18.1724492834857,1881612,-17.9627195995274
7,1871603,-17.8391506159073,1889933,-18.0649599697941,1883633,-17.9875923079415
8,1853431,-17.6131376782421,1876317,-17.8974290962905,1860257,-17.6982895336447
9,1836304,-17.3981203507543,1847212,-17.5352893094987,1838154,-17.4214406037113
10,1841739,-17.4665657999666,1839372,-17.4367815471832,1849542,-17.5644859779089
11,1830312,-17.3224288394371,1882531,-17.974033091879,1838217,-17.4222343460857
12,1879594,-17.9378577025497,1862497,-17.7261658804287,1822996,-17.2296807642497
13,1813429,-17.1078404746557,1872361,-17.8485313558309,1820037,-17.1920639976395
14,1832534,-17.3505257815146,1821759,-17.2139625306534,1809252,-17.0544453341762
15,1822424,-17.2224138182536,1844168,-17.4970910840083,1822292,-17.22073651135
16,1832699,-17.3526108496003,1853362,-17.6122753570436,1839328,-17.4362275328094
17,1822712,-17.2260729812011,1864857,-17.7555000360847,1834668,-17.3774784071559
18,1820023,-17.1918858770615,1840325,-17.4487777960449,1820175,-17.1938196853177
19,1825970,-17.2674276124756,1853956,-17.6196977851845,1838026,-17.419827838331
20,1831764,-17.3407930184781,1855250,-17.635859098743,1842217,-17.4725759623595
21,1819365,-17.1835126851763,1854138,-17.6219715296515,1847471,-17.5385365638806
22,1835321,-17.3857196924411,1842017,-17.4700614367304,1846286,-17.5236757726382
23,1852418,-17.6004746348757,1849803,-17.5677542541163,1846294,-17.5237761300911
24,1846494,-17.5262849274748,1865183,-17.7595492638577,NA,NA
