"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1579778,-15.2936523053345,1609872,-15.7339288826335,1664195,-16.5764878752751
2,1696933,-17.0590819222745,1704811,-17.1937516939501,1688365,-16.973648641334
3,1664350,-16.5615725353284,1488346,-13.8586758927506,1539918,-14.6669778234232
4,1565883,-15.1070260337807,1526767,-14.4281948288963,1579005,-15.2691654941628
5,1531664,-14.5210171103921,1570364,-15.1979496269076,1585391,-15.3246494964689
6,1597855,-15.5676948842598,1576028,-15.2361339397371,1584544,-15.3529544302856
7,1596779,-15.4954053637047,1574137,-15.198710320637,1595367,-15.5203072522549
8,1579158,-15.3066869159393,1580047,-15.2824250578867,1603624,-15.6824499519763
9,1607583,-15.7605976163059,1606525,-15.6773436939092,1607177,-15.7387250409603
10,1591616,-15.4348482853081,1589409,-15.4448743844885,1572485,-15.1863461137522
11,1585903,-15.3733409179994,1557132,-14.9221864823123,1582422,-15.3304865429623
12,1566199,-15.0505316355431,1560582,-15.0316274130973,1597841,-15.7149202760212
13,1582427,-15.3643081770721,1558515,-15.0021249499251,1598541,-15.6389444826268
14,1594996,-15.492801843224,1592822,-15.5055602869081,1595471,-15.555060087032
15,1589730,-15.4175170899367,1571710,-15.1959003168898,1593989,-15.6190745277414
16,1598669,-15.5412914437572,1556862,-14.9623988560537,1591331,-15.5240892722566
17,1609930,-15.6892161174186,1554469,-14.8318384861435,1613745,-15.7567931598518
18,1623541,-15.9105591502813,1580039,-15.3099785495157,1607472,-15.7819604211734
19,1614419,-15.7868404782861,1562705,-15.0436642918053,1593263,-15.5613084042752
20,1613224,-15.8418760226056,1578019,-15.2359408069697,1604113,-15.62075716397
21,1609054,-15.7475938970554,1575187,-15.1989133388147,1589181,-15.4218346045619
22,1585533,-15.4030813810515,1600166,-15.5791677559584,1609548,-15.6993502258304
23,1625239,-15.9507758098102,1596467,-15.5267919372248,1611389,-15.7555395906651
24,1606587,-15.7304452876256,1560408,-14.9626680487544,NA,NA
