"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1777889,-18.1935094786663,1781250,-18.240054647615,-526,674964,674.964,"Kette 1",1,34,-18.2167820631407
2,2442561,-26.1129174225153,2442932,-26.1167657870272,-524,674932,674.932,"Kette 1",3,1,-26.1148416047712
3,2790405,-29.5200206804325,2788107,-29.4987066485914,-521,674846,674.846,"Kette 1",5,3,-29.509363664512
4,2867483,-30.2267769394332,2868414,-30.2352190386189,-533,675220,675.22,"Kette 1",8,5,-30.230997989026
5,2874186,-30.2875089999265,2871521,-30.263376638922,-547,675211,675.211,"Kette 1",10,6,-30.2754428194242
6,2874666,-30.2918536256001,2865162,-30.2057210023007,-534,675521,675.521,"Kette 1",13,7,-30.2487873139504
7,2894833,-30.4738661315447,2900415,-30.5240651707337,-537,676007,676.007,"Kette 1",16,8,-30.4989656511392
8,2933442,-30.819505944596,2938869,-30.8677986008972,-537,676343,676.343,"Kette 1",21,15,-30.8436522727466
9,2949554,-30.9626730953672,2954680,-31.0080911117892,-547,677094,677.094,"Kette 1",26,16,-30.9853821035782
10,2964695,-31.0966472330778,2960369,-31.0584243652973,-565,677514,677.514,"Kette 1",30,17,-31.0775357991875
11,1760471,-17.9509440723435,1763947,-17.999533413601,-496,674888,674.888,"Kette 2",1,33,-17.9752387429723
12,2394874,-25.6139809534665,2399487,-25.6626218009135,-538,674899,674.899,"Kette 2",3,4,-25.63830137719
13,2756155,-29.2008484607399,2759722,-29.2342403965184,-540,675048,675.048,"Kette 2",5,10,-29.2175444286291
14,2863842,-30.1937399224094,2866586,-30.2186410534576,-545,675103,675.103,"Kette 2",8,11,-30.2061904879335
15,2868773,-30.2384737798358,2871325,-30.2616010887904,-564,675470,675.47,"Kette 2",10,12,-30.2500374343131
16,NA,NA,NA,NA,-527,675624,675.624,"Kette 2",13,13,NA
17,2897458,-30.4974824700998,2896082,-30.4851051517558,-549,676382,676.382,"Kette 2",16,20,-30.4912938109278
18,2922574,-30.7225816185832,2920003,-30.699610563555,-541,676500,676.5,"Kette 2",21,21,-30.7110960910691
19,2945492,-30.9266379294821,2945098,-30.9231405423217,-542,677042,677.042,"Kette 2",26,22,-30.9248892359019
20,2963901,-31.0896350667884,2966779,-31.1150448914699,-549,677042,677.042,"Kette 2",30,24,-31.1023399791292
