"node","ntc1_C","ntc2_C","gnd","pressure_hPa"
1,-6.53561668694272,-6.59912588669903,-314,674.682
2,-2.95524026845692,-2.96360607351528,-334,674.739
3,-1.93142723731455,-1.96583869925706,-322,674.605
4,-1.4429672595507,-1.47945988340103,-336,674.736
5,-2.11478349283595,-2.09604290386034,-342,674.631
6,-1.43569742106513,-1.38183082848332,-340,674.57
7,-0.560527741440296,-0.633639947644895,-354,674.819
8,0.406065385122133,0.33156195833061,-338,674.761
9,1.50811218368568,1.45327246842572,-349,674.923
10,1.34767639528576,1.41026531090858,-367,674.868
11,-5.99092855645193,-6.04083416009627,-359,674.674
12,-2.43318541336174,-2.49878815670536,-348,674.709
13,-7.00288870165059,-6.98019153733327,-356,674.792
14,-5.89306444455201,-5.8815224332057,-354,674.587
15,-3.60018743549659,-3.78332800168857,-361,674.901
16,-0.96243487075651,-1.02040263393093,-337,674.726
17,-1.45524088726665,-1.5203201504533,-336,675.083
18,-0.275427389444815,-0.245936965884539,-355,674.901
19,-0.0920706318551652,-0.0886561014738163,-347,674.974
20,0.118186301395951,0.0777131241270581,-358,674.757
