"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1145426,-7.41561977003215,1137292,-7.21432140459484,1146631,-7.45423680094456
2,1152545,-7.57674211588113,1142791,-7.38669340919085,1144210,-7.43665305441067
3,1142381,-7.33532716967642,1125266,-7.00750522473743,1147452,-7.45949836210264
4,1154032,-7.62777568161607,1132804,-7.1152350548802,1151421,-7.53169389967184
5,1125177,-6.95753779831119,1140617,-7.36396788099302,1147786,-7.40998308652343
6,1156220,-7.63296494817297,1153651,-7.59165545940772,1156746,-7.64282265684875
7,1158978,-7.64126498357155,1147314,-7.45132507592575,1154048,-7.58497156696438
8,1149377,-7.5231858743424,1141368,-7.3110563039836,1157189,-7.68548549784185
9,1156567,-7.67605575559122,1152087,-7.52504315555558,1165158,-7.85945690420567
10,1155107,-7.57891727458048,1154519,-7.61124209539724,1163426,-7.80395216551256
11,1151948,-7.53591909565068,1134403,-7.15903468478712,1150356,-7.51632498417109
12,1143351,-7.33750057414147,1123391,-6.97920233118663,1163347,-7.91381559772839
13,1150517,-7.54364570396734,1138231,-7.30327690341642,1159521,-7.7715768630087
14,1158871,-7.65870590665492,1159739,-7.73020888901004,1166959,-7.89269658952719
15,1157058,-7.63244513160879,1153192,-7.61180514943442,1173134,-8.06799710474274
16,1180172,-8.10530825094565,1148792,-7.5130733900408,1153719,-7.61945930881308
17,1171146,-7.88618966379926,1147735,-7.40016858922166,1173809,-7.95434457917753
18,1173033,-7.94643701780075,1151351,-7.55391179343462,1176951,-8.11021581861002
19,1174005,-7.97831401588536,1153768,-7.60852177715628,1168594,-7.94598358426481
20,1175926,-8.08892757081998,1167965,-7.86415188233468,1169896,-7.88611857984336
21,1160149,-7.7348513243773,1151681,-7.52571501885188,1154002,-7.58390737242092
22,1163016,-7.79744037722145,1150638,-7.49606112961459,1166533,-7.81014213765525
23,1174978,-8.0010196064876,1165966,-7.83205892023165,1167124,-7.85488089310843
24,1174379,-8.03515563854864,1150850,-7.49981473916512,NA,NA
