"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1734626,-17.5867704702929,1739107,-17.6502807759023,-498,672565,672.565,"Kette 1",1,34,-17.6185256230976
2,2685429,-28.5312699944853,2686124,-28.5379205225789,-481,672410,672.41,"Kette 1",3,1,-28.5345952585321
3,2896016,-30.4845113536956,2893127,-30.4585085469933,-493,672361,672.361,"Kette 1",5,3,-30.4715099503444
4,2867107,-30.2233668291216,2868003,-30.2314924552588,-515,672719,672.719,"Kette 1",8,5,-30.2274296421902
5,2857463,-30.1357775393243,2854797,-30.111522123118,-498,672742,672.742,"Kette 1",10,6,-30.1236498312212
6,2863849,-30.1938034701914,2854408,-30.1079814490662,-499,673024,673.024,"Kette 1",13,7,-30.1508924596288
7,2889866,-30.4291324556282,2895374,-30.4787347515282,-497,673513,673.513,"Kette 1",16,8,-30.4539336035782
8,2930747,-30.795497794497,2936175,-30.8438346779382,-508,673901,673.901,"Kette 1",21,15,-30.8196662362176
9,2946768,-30.9379619419022,2951871,-30.9832102169601,-523,674634,674.634,"Kette 1",26,16,-30.9605860794312
10,2962122,-31.0739185259016,2957787,-31.0355897129206,-543,675035,675.035,"Kette 1",30,17,-31.0547541194111
11,1718652,-17.3590821241084,1722009,-17.4070995003012,-471,672429,672.429,"Kette 2",1,33,-17.3830908122048
12,2607311,-27.7744048583683,2612154,-27.8218777154863,-506,672396,672.396,"Kette 2",3,4,-27.7981412869273
13,2865460,-30.2084252055964,2868906,-30.2396794919583,-520,672586,672.586,"Kette 2",5,10,-30.2240523487773
14,2852466,-30.0902995471725,2855173,-30.114944100645,-506,672646,672.646,"Kette 2",8,11,-30.1026218239087
15,2843257,-30.0063187980173,2845813,-30.0296500883806,-494,673019,673.019,"Kette 2",10,12,-30.017984443199
16,NA,NA,NA,NA,-501,673223,673.223,"Kette 2",13,13,NA
17,2890802,-30.4375669538674,2889466,-30.4255273000497,-501,673951,673.951,"Kette 2",16,20,-30.4315471269586
18,2922655,-30.7233050652571,2920247,-30.7017913182188,-502,674067,674.067,"Kette 2",21,21,-30.7125481917379
19,2947043,-30.9404019514623,2946641,-30.9368350400538,-518,674638,674.638,"Kette 2",26,22,-30.938618495758
20,2963918,-31.089785216914,2966842,-31.1156008993627,-525,674661,674.661,"Kette 2",30,24,-31.1026930581383
