"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1140191,-7.30319712117131,1157150,-7.63927052769736,1166075,-7.86638662209293
2,1182548,-8.20708909674926,1147346,-7.48432673382086,1175072,-8.08963951358726
3,1168482,-7.88972956420093,1157593,-7.70247714833909,1182829,-8.20429091007941
4,1177242,-8.1163920162308,1151951,-7.52657903414507,1170232,-7.92921676912835
5,1151988,-7.53594188877844,1178886,-8.17347849006944,1174182,-7.96776070048014
6,902870,-1.53559503403136,917957,-1.96425616727612,838267,0.301498375270455
7,1046791,-5.13978371694532,1032079,-4.85112359435243,1080202,-5.96149695294321
8,856125,-0.259055432735579,912333,-1.79319806491691,760286,2.70480685932415
9,1140409,-7.33038050721751,1162897,-7.75429279248533,1159692,-7.74412645750704
10,1147671,-7.4204270500112,1154848,-7.61823296893743,1126254,-7.00703756671476
11,1152873,-7.55562395691288,1151044,-7.51650809616382,1152977,-7.5721671836788
12,1162992,-7.75555974811675,1156643,-7.69489779281372,1163065,-7.90784983372254
13,1141872,-7.35837380679834,1152079,-7.5999746421324,1156442,-7.70634598801564
14,1156892,-7.61675013539298,1153130,-7.58998419915224,1154506,-7.62978473390223
15,1159126,-7.67625720625699,1147332,-7.48684390859137,1160090,-7.79291371282415
16,1155109,-7.57884343493635,1136793,-7.25533568799528,1166513,-7.89043087490819
17,1161125,-7.6752562679751,1148776,-7.42241227290066,1172878,-7.93487756293183
18,1168791,-7.85757722255727,1162180,-7.78361727396054,1155119,-7.64936737178908
19,1166485,-7.82063388072714,1146195,-7.44689309959131,1163798,-7.8449921195791
20,1163550,-7.82928246044827,1156184,-7.61547020061175,1163702,-7.75589661374147
21,1144484,-7.40139375189881,1155006,-7.59645231694441,1160772,-7.72719205808983
22,1158751,-7.70719248698123,1170719,-7.9206006815553,1173704,-7.96048234740584
23,1182441,-8.15628086726417,1146831,-7.42639603768902,1142913,-7.34080672873858
24,1118248,-6.83136864267016,1095848,-6.29703071160992,NA,NA
