"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1857792,-19.2781113651627,1860546,-19.3147027984887,-523,679074,679.074,"Kette 1",1,34,-19.2964070818257
2,2389771,-25.560077967673,2390302,-25.5656916066161,-524,679089,679.089,"Kette 1",3,1,-25.5628847871445
3,2750099,-29.1440745825524,2748353,-29.1276870347511,-527,679003,679.003,"Kette 1",5,3,-29.1358808086518
4,2862166,-30.1785211580909,2863109,-30.187084867857,-536,679370,679.37,"Kette 1",8,5,-30.182803012974
5,2874377,-30.2892378688935,2871693,-30.2649346942928,-536,679363,679.363,"Kette 1",10,6,-30.2770862815932
6,2874676,-30.2919441324215,2865210,-30.206156594002,-531,679672,679.672,"Kette 1",13,7,-30.2490503632118
7,2893348,-30.4604984210459,2898927,-30.5106911351761,-530,680165,680.165,"Kette 1",16,8,-30.485594778111
8,2932148,-30.8079806634538,2937574,-30.8562813780222,-539,680498,680.498,"Kette 1",21,15,-30.832131020738
9,2949008,-30.9578316670713,2954121,-31.0031412304106,-542,681249,681.249,"Kette 1",26,16,-30.9804864487409
10,2964485,-31.0947927745613,2960160,-31.0565766015728,-567,681674,681.674,"Kette 1",30,17,-31.0756846880671
11,1825398,-18.8438204502586,1828422,-18.8846685416058,-495,679004,679.004,"Kette 2",1,33,-18.8642444959322
12,2361745,-25.2622309565973,2366300,-25.3108494370688,-543,679042,679.042,"Kette 2",3,4,-25.286540196833
13,2728288,-28.9387425155495,2731870,-28.9725568096888,-542,679195,679.195,"Kette 2",5,10,-28.9556496626192
14,2858689,-30.1469256177383,2861477,-30.1722626701621,-545,679240,679.24,"Kette 2",8,11,-30.1595941439502
15,2869632,-30.2462602540654,2872186,-30.2694000991485,-549,679612,679.612,"Kette 2",10,12,-30.257830176607
16,NA,NA,NA,NA,-530,679766,679.766,"Kette 2",13,13,NA
17,2897646,-30.4991731911127,2896282,-30.48690447353,-537,680521,680.521,"Kette 2",16,20,-30.4930388323213
18,2922250,-30.7196876718304,2919650,-30.6964553617305,-539,680634,680.634,"Kette 2",21,21,-30.7080715167804
19,2945243,-30.9244276950511,2944853,-30.9209655835991,-543,681183,681.183,"Kette 2",26,22,-30.9226966393251
20,2963849,-31.0891757798176,2966730,-31.1146124344259,-559,681192,681.192,"Kette 2",30,24,-31.1018941071218
